tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
415,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,118.5145239013842,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
692,plate,put down,Counter_23,Counter,23,put down plate on counter,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,211.46871195393032,92.95418805254613,0.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
805,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,256.7235459498686,45.25483399593827,0.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
964,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,320.72354594986655,63.999999999997954,0.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1127,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,352.72354594986496,31.99999999999841,0.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1216,plate,put down,Counter_23,Counter,23,put down plate on counter,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,352.72354594986496,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1324,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,384.72354594986336,31.99999999999841,1.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1418,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,416.7235459498618,31.99999999999841,1.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1637,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,503.6568741952448,86.93332824538305,1.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1751,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,542.1714205905681,38.51454639532329,2.0,1.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1928,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,596.7065419334929,54.535121342924754,2.0,0.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2138,plate,put down,Counter_23,Counter,23,put down plate on counter,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,689.6607299860383,92.95418805254542,2.0,0.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2286,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,734.9155639819741,45.25483399593577,3.0,0.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2551,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,798.915563981972,63.999999999997954,3.0,0.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2650,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,798.915563981972,0.0,3.0,0.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2721,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,814.9155639819713,15.999999999999318,3.0,0.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2791,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,814.9155639819713,0.0,3.0,0.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2879,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,train,843.4155639819782,28.50000000000682,0.0,-1.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3284,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1009.2190929479696,165.8035289659914,0.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3509,plate,put down,Counter_23,Counter,23,put down plate on counter,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1102.1732810005167,92.95418805254712,0.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3631,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1147.4281149964625,45.25483399594577,0.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3862,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1238.1029665233648,90.67485152690233,0.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3958,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1238.1029665233648,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4029,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1254.1029665233639,15.99999999999909,1.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4279,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1340.5180134466955,86.4150469233316,1.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4442,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1404.5180134466952,63.99999999999977,1.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4538,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1404.5180134466952,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4594,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1420.5180134466964,16.000000000001137,1.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4735,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1420.5180134466964,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4900,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1475.051379565765,54.53336611906866,2.0,1.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
5049,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1491.0513795657662,16.000000000001137,2.0,0.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
5214,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1555.051379565766,63.99999999999977,2.0,0.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
5336,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1555.051379565766,0.0,2.0,0.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
5393,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1571.051379565767,16.000000000001137,2.0,0.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
5432,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1571.051379565767,0.0,2.0,0.0,1.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
5592,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1625.5847456848358,54.53336611906866,3.0,1.0,2.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
5878,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1678.5164578842493,52.931712199413596,4.0,0.0,2.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6094,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1758.5164578842491,79.99999999999977,5.0,0.0,2.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6198,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1758.5164578842491,0.0,5.0,0.0,2.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6266,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1774.5164578842503,16.000000000001137,5.0,0.0,2.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6578,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1854.5164578842512,80.00000000000091,5.0,0.0,2.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6770,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1918.516457884251,63.99999999999977,6.0,0.0,2.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6795,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1918.516457884251,0.0,6.0,0.0,2.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6859,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,1934.516457884252,16.000000000001137,6.0,0.0,2.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
7221,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5e984b0c,baseline_division_of_labor_large,1364fc4a4cbb5c2d,test,2014.516457884253,80.00000000000091,6.0,0.0,2.0,0.4,1.0,"(1, 2)",662f93c33fe9ba41a6319363,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
