tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
234,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,70.51452390138468,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
384,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,134.5145239013845,63.99999999999983,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
607,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,198.51452390138428,63.99999999999977,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
750,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,262.51452390138405,63.99999999999977,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
849,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,262.51452390138405,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
903,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,278.5145239013834,15.999999999999375,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
950,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,294.51452390138274,15.999999999999318,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1032,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,326.51452390138115,31.99999999999841,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1081,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,342.51452390138024,15.99999999999909,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1270,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,419.56818995262506,77.05366605124482,1.0,1.0,1.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1398,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,474.1033112955501,54.53512134292504,1.0,0.0,1.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1591,plate,put down,Counter_22,Counter,22,put down plate on counter,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,560.6384326384662,86.53512134291606,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1698,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,605.4925919626793,44.85415932421313,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1715,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,605.4925919626793,0.0,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1742,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_ef19a7c6,baseline_division_of_labor_large,2676aa19184ba7b1,train,605.4925919626793,0.0,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6780c42ed4700120b2b636db,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
