tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
99,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0121a78e,baseline_division_of_labor_large,332b6422847ebee5,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",655fa05b1303f59972ea6555,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_0121a78e_actions,,[],,,
246,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_0121a78e,baseline_division_of_labor_large,332b6422847ebee5,train,80.0,64.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",655fa05b1303f59972ea6555,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_0121a78e_actions,player_0121a78e,['player_0121a78e'],,,
307,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,70.51452390138468,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_50841f38_actions,,[],,,
492,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,134.5145239013845,63.99999999999983,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_50841f38_actions,player_50841f38,['player_50841f38'],,,
636,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,1,pick up tomato_cut from cuttingboard,player_0121a78e,baseline_division_of_labor_large,332b6422847ebee5,train,80.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",655fa05b1303f59972ea6555,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_0121a78e_actions,player_50841f38,['player_50841f38'],,,True
770,tomato_cut,put down,Dispenser_80,Dispenser,80,put down tomato_cut on dispenser,player_0121a78e,baseline_division_of_labor_large,332b6422847ebee5,train,192.0,112.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",655fa05b1303f59972ea6555,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_0121a78e_actions,player_0121a78e,"['player_50841f38', 'player_0121a78e']",,,
770,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_0121a78e,baseline_division_of_labor_large,332b6422847ebee5,train,192.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",655fa05b1303f59972ea6555,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_0121a78e_actions,,[],,,
824,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,246.51452390138428,111.99999999999976,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_50841f38_actions,,[],,,
894,plate,put down,Counter_22,Counter,22,put down plate on counter,player_0121a78e,baseline_division_of_labor_large,332b6422847ebee5,train,278.55535125123913,86.55535125123913,0.0,0.0,0.0,1.0,0.2,"(5, 2)",655fa05b1303f59972ea6555,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_0121a78e_actions,player_0121a78e,['player_0121a78e'],,,
957,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_0121a78e,baseline_division_of_labor_large,332b6422847ebee5,train,317.06458299754826,38.509231746309126,0.0,0.0,0.0,1.0,0.2,"(5, 2)",655fa05b1303f59972ea6555,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_0121a78e_actions,player_0121a78e,['player_0121a78e'],,,False
