tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
307,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,70.51452390138468,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
492,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,134.5145239013845,63.99999999999983,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
824,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,246.51452390138428,111.99999999999977,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1070,plate,put down,Counter_23,Counter,23,put down plate on counter,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,339.4687119539297,92.95418805254542,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1453,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,445.6329253807497,106.16421342682003,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1555,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,477.63292538074927,31.999999999999545,1.0,1.0,1.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1718,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,516.1680467236789,38.53512134292964,1.0,0.0,1.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1857,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,554.6825931190012,38.51454639532233,2.0,1.0,2.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2110,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,640.9053293937596,86.2227362747584,2.0,0.0,2.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2356,plate,put down,Counter_22,Counter,22,put down plate on counter,player_50841f38,baseline_division_of_labor_large,332b6422847ebee5,train,727.4404507366756,86.535121342916,2.0,0.0,2.0,0.4,1.0,"(1, 2)",5ec189f03d870d5ba617fcc4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
