tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
433,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3d38efd8,baseline_division_of_labor_large,4fd5871e0fd817d9,train,70.51452390138468,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65c10ce5b1b5c38bdeea0bbf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
674,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_3d38efd8,baseline_division_of_labor_large,4fd5871e0fd817d9,train,147.68179002439754,77.16726612301287,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65c10ce5b1b5c38bdeea0bbf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
684,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_3d38efd8,baseline_division_of_labor_large,4fd5871e0fd817d9,train,147.68179002439754,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65c10ce5b1b5c38bdeea0bbf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
894,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_3d38efd8,baseline_division_of_labor_large,4fd5871e0fd817d9,train,234.0982496868988,86.41645966250127,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65c10ce5b1b5c38bdeea0bbf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1209,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_3d38efd8,baseline_division_of_labor_large,4fd5871e0fd817d9,train,346.0982496868976,111.99999999999878,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65c10ce5b1b5c38bdeea0bbf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1490,plate,put down,CuttingBoard_10,CuttingBoard,10,put down plate on cuttingboard,player_3d38efd8,baseline_division_of_labor_large,4fd5871e0fd817d9,train,458.09824968689554,111.99999999999795,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65c10ce5b1b5c38bdeea0bbf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1490,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_3d38efd8,baseline_division_of_labor_large,4fd5871e0fd817d9,train,458.09824968689554,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65c10ce5b1b5c38bdeea0bbf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1929,tomato_cut,put down,Counter_23,Counter,23,put down tomato_cut on counter,player_3d38efd8,baseline_division_of_labor_large,4fd5871e0fd817d9,train,567.1667371488941,109.06848746199853,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65c10ce5b1b5c38bdeea0bbf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2048,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_3d38efd8,baseline_division_of_labor_large,4fd5871e0fd817d9,train,583.1667371488936,15.999999999999545,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65c10ce5b1b5c38bdeea0bbf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2267,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_3d38efd8,baseline_division_of_labor_large,4fd5871e0fd817d9,train,653.5818076968485,70.41507054795488,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65c10ce5b1b5c38bdeea0bbf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2577,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_3d38efd8,baseline_division_of_labor_large,4fd5871e0fd817d9,train,765.5818076968465,111.99999999999795,1.0,0.0,0.0,0.4,1.0,"(1, 2)",65c10ce5b1b5c38bdeea0bbf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2843,plate,put down,CuttingBoard_10,CuttingBoard,10,put down plate on cuttingboard,player_3d38efd8,baseline_division_of_labor_large,4fd5871e0fd817d9,train,877.5818076968445,111.99999999999807,1.0,0.0,0.0,0.4,1.0,"(1, 2)",65c10ce5b1b5c38bdeea0bbf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
