tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
247,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_694cb230,baseline_division_of_labor_large,5a59d9fa4968436f,train,70.51452390138468,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
441,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_694cb230,baseline_division_of_labor_large,5a59d9fa4968436f,train,134.5145239013845,63.99999999999983,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
504,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_694cb230,baseline_division_of_labor_large,5a59d9fa4968436f,train,150.51452390138428,15.999999999999773,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
570,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_694cb230,baseline_division_of_labor_large,5a59d9fa4968436f,train,166.51452390138408,15.999999999999801,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
656,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_694cb230,baseline_division_of_labor_large,5a59d9fa4968436f,train,198.51452390138388,31.9999999999998,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
708,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_694cb230,baseline_division_of_labor_large,5a59d9fa4968436f,train,214.51452390138388,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
823,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_694cb230,baseline_division_of_labor_large,5a59d9fa4968436f,train,229.51452390139156,15.000000000007674,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
896,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_694cb230,baseline_division_of_labor_large,5a59d9fa4968436f,train,229.51452390139156,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1081,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_694cb230,baseline_division_of_labor_large,5a59d9fa4968436f,train,245.51452390139136,15.999999999999801,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1194,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_694cb230,baseline_division_of_labor_large,5a59d9fa4968436f,train,277.5145239013899,31.99999999999855,1.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
