tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
464,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f2ca9bbb,baseline_division_of_labor_large,7e40d84e34c380dc,train,70.51452390138468,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63d881ab484805569b553bd8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
573,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_f2ca9bbb,baseline_division_of_labor_large,7e40d84e34c380dc,train,109.0496452443143,38.53512134292963,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63d881ab484805569b553bd8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
672,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f2ca9bbb,baseline_division_of_labor_large,7e40d84e34c380dc,train,145.89405544802705,36.84441020371274,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63d881ab484805569b553bd8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
784,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_f2ca9bbb,baseline_division_of_labor_large,7e40d84e34c380dc,train,191.1488894439653,45.25483399593824,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63d881ab484805569b553bd8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
936,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f2ca9bbb,baseline_division_of_labor_large,7e40d84e34c380dc,train,236.40372343990353,45.25483399593824,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63d881ab484805569b553bd8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1077,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_f2ca9bbb,baseline_division_of_labor_large,7e40d84e34c380dc,train,297.5710059617438,61.16728252184029,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63d881ab484805569b553bd8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1347,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_f2ca9bbb,baseline_division_of_labor_large,7e40d84e34c380dc,train,406.5206741957164,108.9496682339726,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63d881ab484805569b553bd8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1660,plate,put down,Counter_26,Counter,26,put down plate on counter,player_f2ca9bbb,baseline_division_of_labor_large,7e40d84e34c380dc,train,547.4609322086087,140.9402580128923,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63d881ab484805569b553bd8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1860,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_f2ca9bbb,baseline_division_of_labor_large,7e40d84e34c380dc,train,612.4982479707055,65.0373157620968,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63d881ab484805569b553bd8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1968,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_f2ca9bbb,baseline_division_of_labor_large,7e40d84e34c380dc,train,657.3524072949186,44.85415932421313,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63d881ab484805569b553bd8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
