tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
331,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_e5365b4c,baseline_division_of_labor_large,893c91719db9008d,train,54.47700958355846,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4825050fc6402cb19feade,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
453,plate,put down,Counter_22,Counter,22,put down plate on counter,player_e5365b4c,baseline_division_of_labor_large,893c91719db9008d,train,141.03236083479737,86.5553512512389,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4825050fc6402cb19feade,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
532,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_e5365b4c,baseline_division_of_labor_large,893c91719db9008d,train,179.51558392056987,38.483223085772494,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4825050fc6402cb19feade,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
740,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_e5365b4c,baseline_division_of_labor_large,893c91719db9008d,train,224.77041791650862,45.25483399593875,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4825050fc6402cb19feade,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
740,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_e5365b4c,baseline_division_of_labor_large,893c91719db9008d,train,224.77041791650862,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4825050fc6402cb19feade,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
780,plate,put down,Counter_23,Counter,23,put down plate on counter,player_e5365b4c,baseline_division_of_labor_large,893c91719db9008d,train,224.77041791650862,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4825050fc6402cb19feade,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
780,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_e5365b4c,baseline_division_of_labor_large,893c91719db9008d,train,224.77041791650862,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4825050fc6402cb19feade,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
926,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_e5365b4c,baseline_division_of_labor_large,893c91719db9008d,train,285.2818169603563,60.51139904384769,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4825050fc6402cb19feade,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1236,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_e5365b4c,baseline_division_of_labor_large,893c91719db9008d,train,403.79101493885906,118.50919797850275,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4825050fc6402cb19feade,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1344,plate,put down,Counter_22,Counter,22,put down plate on counter,player_e5365b4c,baseline_division_of_labor_large,893c91719db9008d,train,490.3463661900982,86.55535125123913,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4825050fc6402cb19feade,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1411,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_e5365b4c,baseline_division_of_labor_large,893c91719db9008d,train,490.3463661900982,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4825050fc6402cb19feade,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1472,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_e5365b4c,baseline_division_of_labor_large,893c91719db9008d,train,522.3463661900978,31.999999999999602,1.0,1.0,1.0,1.0,0.2,"(5, 2)",5f4825050fc6402cb19feade,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
