tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
173,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
334,tomato,put down,Counter_27,Counter,27,put down tomato on counter,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,125.16706570608994,109.16706570608994,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
457,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,250.1551350795173,124.98806937342735,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
589,tomato,put down,Counter_26,Counter,26,put down tomato on counter,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,358.99733376938974,108.84219868987245,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
778,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,538.4284924057143,179.4311586363246,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
880,plate,put down,Counter_22,Counter,22,put down plate on counter,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,624.9838436569505,86.55535125123617,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
980,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,711.539194908189,86.55535125123845,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1094,plate,put down,Counter_23,Counter,23,put down plate on counter,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,804.368851503697,92.82965659550803,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1163,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,842.8520745894684,38.48322308577144,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1205,plate,put down,Counter_22,Counter,22,put down plate on counter,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,842.8520745894684,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1247,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,858.852074589468,15.999999999999545,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1290,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,874.8520745894675,15.999999999999545,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1324,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,874.8520745894675,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1406,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,929.3290841730249,54.47700958355733,1.0,1.0,1.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1569,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,999.639952190526,70.3108680175011,1.0,0.0,1.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1646,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,1031.6399521905248,31.999999999998863,1.0,0.0,1.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1695,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,1031.6399521905248,0.0,1.0,0.0,1.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1806,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,1124.4623989496404,92.82244675911556,2.0,1.0,2.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1926,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,1178.939408533196,54.47700958355563,2.0,0.0,2.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2031,plate,put down,Counter_22,Counter,22,put down plate on counter,player_1c8b0602,baseline_division_of_labor_large,99c7209db5ec84e0,train,1265.494759784432,86.55535125123606,2.0,0.0,2.0,1.0,0.2,"(5, 2)",57886b106cc44500010441f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
