tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
425,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,70.51452390138468,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
588,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,134.5145239013845,63.99999999999983,0.0,0.0,0.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
938,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,246.51452390138428,111.99999999999977,0.0,0.0,0.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1144,plate,put down,Counter_22,Counter,22,put down plate on counter,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,333.04964524430164,86.53512134291736,0.0,0.0,0.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1259,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,371.5641916396265,38.51454639532483,0.0,0.0,0.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1321,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,387.56419163962585,15.999999999999375,1.0,0.0,0.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1419,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,414.5641916396381,27.000000000012278,1.0,0.0,0.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1576,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,469.0975577587072,54.53336611906906,2.0,1.0,1.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1729,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,523.6326791016332,54.53512134292606,2.0,0.0,1.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1988,plate,put down,Counter_24,Counter,24,put down plate on counter,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,632.5729753158278,108.94029621419452,2.0,0.0,1.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2138,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,693.7355063911448,61.16253107531702,2.0,0.0,1.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2303,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,757.7355063911427,63.999999999997954,2.0,0.0,1.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2445,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,757.7355063911427,0.0,2.0,0.0,1.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2546,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,789.7355063911411,31.99999999999841,2.0,0.0,1.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2592,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,789.7355063911411,0.0,2.0,0.0,1.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2810,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,train,882.6840528147758,92.94854642363464,4.0,1.0,2.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3304,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,test,1083.198576716143,200.51452390136717,0.0,0.0,2.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3525,plate,put down,Counter_22,Counter,22,put down plate on counter,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,test,1169.733698059057,86.53512134291395,0.0,0.0,2.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3637,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,test,1208.268819401985,38.53512134292805,0.0,0.0,2.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3806,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,test,1272.2688194019847,63.99999999999977,0.0,0.0,2.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3914,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,test,1272.2688194019847,0.0,0.0,0.0,2.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3980,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_18eea0ed,baseline_division_of_labor_large,9f798de072c4abd6,test,1288.2688194019859,16.000000000001137,0.0,0.0,2.0,0.4,1.0,"(1, 2)",675b5a018aee2cdaa845806b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
