tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
476,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,118.5145239013842,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
692,plate,put down,Counter_22,Counter,22,put down plate on counter,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,205.04964524430122,86.53512134291702,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
890,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,291.58476658722174,86.53512134292052,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1113,plate,put down,Counter_23,Counter,23,put down plate on counter,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,384.53895463976716,92.95418805254542,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1172,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,400.5389546397663,15.999999999999147,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1265,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,432.53895463976585,31.999999999999545,1.0,1.0,1.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1401,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,487.0740759826909,54.53512134292504,1.0,0.0,1.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1597,plate,put down,Counter_22,Counter,22,put down plate on counter,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,573.6091973256068,86.53512134291594,1.0,0.0,1.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1793,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,660.1443186685244,86.53512134291759,1.0,0.0,1.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2033,plate,put down,Counter_24,Counter,24,put down plate on counter,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,769.0846148827189,108.94029621419452,1.0,0.0,1.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2122,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,801.0846148827176,31.999999999998636,1.0,0.0,1.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2204,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,833.0846148827171,31.999999999999545,2.0,1.0,2.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2337,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,887.6197362256419,54.535121342924754,2.0,0.0,2.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2535,plate,put down,Counter_22,Counter,22,put down plate on counter,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,974.1548575685579,86.535121342916,2.0,0.0,2.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2619,tomato_salad,pick up,Counter_24,Counter,24,pick up tomato_salad from counter,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,1006.1548575685565,31.999999999998636,2.0,0.0,2.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2741,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,1060.5713172310575,54.41645966250098,3.0,1.0,3.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2813,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,1076.5713172310586,16.000000000001137,3.0,0.0,3.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2879,tomato,put down,CuttingBoard_02,CuttingBoard,02,put down tomato on cuttingboard,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,train,1097.5713172310395,20.9999999999809,0.0,-3.0,0.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3268,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,test,1261.9661201202648,164.39480288922528,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
3470,plate,put down,Counter_22,Counter,22,put down plate on counter,player_eaa282e9,baseline_division_of_labor_large,9fb37e06b46dd1c1,test,1348.5012414631788,86.53512134291395,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66472a03650f9441b8f815d9,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
