tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
134,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,,[],,,
208,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],,,
256,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,92.96644617154472,38.48322308577237,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,,[],,,
312,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,138.22128016748388,45.25483399593915,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],,,
367,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,183.47611416342264,45.25483399593875,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,,[],,,
451,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,244.64321015754868,61.16709599412604,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],,,
469,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_1708881d,baseline_division_of_labor_large,f17f33c4438637cc,train,118.5145239013842,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66ca73749d6881cffa1920f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_1708881d_actions,,[],,,
533,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,305.75383968303026,61.110629525481585,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,,[],,,
613,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,369.7538396830304,64.00000000000011,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],,,
791,plate,put down,Counter_25,Counter,25,put down plate on counter,player_1708881d,baseline_division_of_labor_large,f17f33c4438637cc,train,243.45479806311195,124.94027416172776,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66ca73749d6881cffa1920f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_1708881d_actions,player_1708881d,['player_1708881d'],,,
874,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,481.7538396830304,112.00000000000006,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,,[],,,
1009,plate,put down,Counter_26,Counter,26,put down plate on counter,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,622.6028898586105,140.8490501755801,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],,,
1116,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,725.0653724603166,102.46248260170604,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],,,False
1211,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,789.0653724603137,63.99999999999716,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_1708881d,['player_2df99e42'],"['player_2df99e42', 'player_2df99e42']",['player_1708881d'],True
1244,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,789.0653724603137,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],"['player_2df99e42', 'player_2df99e42']",['player_1708881d'],False
1365,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,913.9429360109966,124.87756355068292,1.0,1.0,1.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,"['player_2df99e42', 'player_2df99e42']","['player_2df99e42', 'player_2df99e42']",['player_1708881d'],
1438,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,968.4199455945538,54.47700958355722,1.0,0.0,1.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,,[],,,
1447,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_1708881d,baseline_division_of_labor_large,f17f33c4438637cc,train,441.87125772561,198.41645966249808,1.0,0.0,0.0,0.4,1.0,"(1, 2)",66ca73749d6881cffa1920f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_1708881d_actions,,[],,,
1580,plate,put down,Counter_25,Counter,25,put down plate on counter,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1093.268995773897,124.84905017934308,1.0,0.0,1.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],,,
1612,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1109.2689957738962,15.999999999999318,1.0,0.0,1.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],,,False
1692,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1179.5746775445623,70.3056817706663,1.0,0.0,1.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,"['player_2df99e42', 'player_2df99e42']",,,
1761,plate,put down,Counter_24,Counter,24,put down plate on counter,player_1708881d,baseline_division_of_labor_large,f17f33c4438637cc,train,571.7407105648654,129.86945283925536,1.0,0.0,0.0,0.4,1.0,"(1, 2)",66ca73749d6881cffa1920f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_1708881d_actions,player_1708881d,['player_1708881d'],,,
1809,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1243.5746775445605,63.999999999997954,1.0,0.0,1.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,,[],,,
1915,tomato,put down,Counter_27,Counter,27,put down tomato on counter,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1352.7417432506484,109.1670657060879,1.0,0.0,1.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],,,
2032,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1471.1331289995169,118.39138574886827,1.0,0.0,1.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,"['player_2df99e42', 'player_2df99e42']",,,False
2113,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_1708881d,baseline_division_of_labor_large,f17f33c4438637cc,train,672.1557811128314,100.41507054796602,1.0,0.0,0.0,0.4,1.0,"(1, 2)",66ca73749d6881cffa1920f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_1708881d_actions,player_2df99e42,['player_2df99e42'],,,True
2113,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1519.1331289995155,47.99999999999886,1.0,0.0,1.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_1708881d,['player_2df99e42'],"['player_2df99e42', 'player_2df99e42', 'player_2df99e42']",['player_1708881d'],True
2147,tomato_salad,pick up,Counter_24,Counter,24,pick up tomato_salad from counter,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1519.1331289995155,0.0,1.0,0.0,1.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],"['player_2df99e42', 'player_2df99e42', 'player_2df99e42']",['player_1708881d'],False
2178,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_1708881d,baseline_division_of_labor_large,f17f33c4438637cc,train,688.1557811128307,15.999999999999318,1.0,0.0,0.0,0.4,1.0,"(1, 2)",66ca73749d6881cffa1920f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_1708881d_actions,player_1708881d,"['player_2df99e42', 'player_1708881d']",,,
2263,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1627.9968872125564,108.86375821304092,2.0,1.0,2.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,"['player_2df99e42', 'player_2df99e42']","['player_2df99e42', 'player_2df99e42', 'player_2df99e42']",['player_1708881d'],
2300,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1643.9968872125564,16.0,2.0,0.0,2.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,,[],,,
2318,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_1708881d,baseline_division_of_labor_large,f17f33c4438637cc,train,720.1557811128291,31.99999999999841,2.0,0.0,0.0,0.4,1.0,"(1, 2)",66ca73749d6881cffa1920f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_1708881d_actions,player_2df99e42,['player_2df99e42'],,,True
2336,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1682.4801102983276,38.483223085771215,2.0,0.0,2.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],,,
2386,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1720.989342044636,38.50923174630839,2.0,0.0,2.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_1708881d,"['player_2df99e42', 'player_1708881d']",,,True
2394,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_1708881d,baseline_division_of_labor_large,f17f33c4438637cc,train,752.1557811128275,31.99999999999841,2.0,0.0,0.0,0.4,1.0,"(1, 2)",66ca73749d6881cffa1920f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_1708881d_actions,player_1708881d,"['player_2df99e42', 'player_1708881d']",,,
2467,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_1708881d,baseline_division_of_labor_large,f17f33c4438637cc,train,768.1557811128268,15.999999999999318,2.0,0.0,0.0,0.4,1.0,"(1, 2)",66ca73749d6881cffa1920f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_1708881d_actions,player_2df99e42,['player_2df99e42'],,,True
2483,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1784.989342044634,63.999999999997954,2.0,0.0,2.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],"['player_2df99e42', 'player_1708881d', 'player_2df99e42']",['player_2df99e42'],False
2519,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1784.989342044634,0.0,2.0,0.0,2.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,['player_2df99e42'],"['player_2df99e42', 'player_1708881d', 'player_2df99e42']",['player_2df99e42'],False
2524,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_1708881d,baseline_division_of_labor_large,f17f33c4438637cc,train,784.1557811128262,15.999999999999318,2.0,0.0,0.0,0.4,1.0,"(1, 2)",66ca73749d6881cffa1920f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_1708881d_actions,player_1708881d,"['player_2df99e42', 'player_1708881d']",,,
2646,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1909.866905595318,124.87756355068404,3.0,1.0,3.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,player_2df99e42,"['player_2df99e42', 'player_2df99e42']","['player_2df99e42', 'player_1708881d', 'player_2df99e42']",['player_2df99e42'],
2714,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_2df99e42,baseline_division_of_labor_large,f17f33c4438637cc,train,1964.3439151788737,54.47700958355563,3.0,0.0,3.0,1.0,0.2,"(5, 2)",61766e9e5daf1f0ae95530f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_2df99e42_actions,,[],,,
2772,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,1,pick up tomato_cut from cuttingboard,player_1708881d,baseline_division_of_labor_large,f17f33c4438637cc,train,831.1557811128366,47.00000000001046,3.0,0.0,0.0,0.4,1.0,"(1, 2)",66ca73749d6881cffa1920f5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_1708881d_actions,player_1708881d,"['player_2df99e42', 'player_1708881d']",,,False
