tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
120,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5996cf7f,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63225b65b2d6e889f7289909,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_5996cf7f_actions,,[],,,
196,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_5996cf7f,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63225b65b2d6e889f7289909,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_5996cf7f_actions,player_5996cf7f,['player_5996cf7f'],,,
251,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c514f28b,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,70.51453165309282,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_c514f28b_actions,,[],,,
356,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_5996cf7f,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,141.03857433701393,86.55535125124158,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63225b65b2d6e889f7289909,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_5996cf7f_actions,,[],,,
393,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_c514f28b,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,134.51453165309266,63.99999999999984,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_c514f28b_actions,player_c514f28b,['player_c514f28b'],,,
487,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_c514f28b,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,166.51453165308902,31.99999999999636,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_c514f28b_actions,player_5996cf7f,['player_5996cf7f'],,,True
510,plate,put down,Counter_23,Counter,23,put down plate on counter,player_5996cf7f,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,233.86823093252085,92.82965659550692,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63225b65b2d6e889f7289909,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_5996cf7f_actions,player_5996cf7f,['player_5996cf7f'],,,
536,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_c514f28b,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,182.5145316530888,15.9999999999998,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_c514f28b_actions,player_c514f28b,"['player_5996cf7f', 'player_c514f28b']",,,
595,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5996cf7f,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,279.1230649284601,45.254833995939265,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63225b65b2d6e889f7289909,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_5996cf7f_actions,,[],,,
682,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_c514f28b,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,214.51453165308865,31.9999999999998,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_c514f28b_actions,player_5996cf7f,['player_5996cf7f'],,,True
706,plate,put down,Counter_23,Counter,23,put down plate on counter,player_c514f28b,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,214.51453165308865,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_c514f28b_actions,player_c514f28b,"['player_5996cf7f', 'player_c514f28b']",,,
722,tomato,put down,Dispenser_80,Dispenser,80,put down tomato on dispenser,player_5996cf7f,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,392.7017234788644,113.57865855040428,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63225b65b2d6e889f7289909,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_5996cf7f_actions,player_5996cf7f,['player_5996cf7f'],,,
722,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_5996cf7f,baseline_division_of_labor_large,08fa9c0f93d3cca7,train,392.7017234788644,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63225b65b2d6e889f7289909,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_5996cf7f_actions,,[],,,
