tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
208,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_94892806,baseline_division_of_labor_large,291b849f89e431de,train,69.71924559994125,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66439ca8499c87487a9a8abf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
358,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_94892806,baseline_division_of_labor_large,291b849f89e431de,train,133.71924559994108,63.99999999999983,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66439ca8499c87487a9a8abf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
535,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_94892806,baseline_division_of_labor_large,291b849f89e431de,train,197.71924559994085,63.99999999999977,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66439ca8499c87487a9a8abf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
689,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_94892806,baseline_division_of_labor_large,291b849f89e431de,train,261.7192455999406,63.99999999999977,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66439ca8499c87487a9a8abf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1042,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_94892806,baseline_division_of_labor_large,291b849f89e431de,train,373.7192455999568,112.0000000000162,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66439ca8499c87487a9a8abf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1140,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_94892806,baseline_division_of_labor_large,291b849f89e431de,train,405.71924559995546,31.999999999998636,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66439ca8499c87487a9a8abf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1467,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_94892806,baseline_division_of_labor_large,291b849f89e431de,train,437.7192455999541,31.999999999998636,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66439ca8499c87487a9a8abf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1511,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_94892806,baseline_division_of_labor_large,291b849f89e431de,train,453.7192455999532,15.99999999999909,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66439ca8499c87487a9a8abf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1862,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_94892806,baseline_division_of_labor_large,291b849f89e431de,train,588.1342925232824,134.41504692332921,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66439ca8499c87487a9a8abf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2063,plate,put down,Counter_22,Counter,22,put down plate on counter,player_94892806,baseline_division_of_labor_large,291b849f89e431de,train,674.6694138661984,86.535121342916,1.0,0.0,0.0,0.4,1.0,"(1, 2)",66439ca8499c87487a9a8abf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
