tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
595,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_5605166c,baseline_division_of_labor_large,2b11cb4fc59d0e22,train,119.7137617750827,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
973,tomato_cut,put down,Dispenser_80,Dispenser,80,put down tomato_cut on dispenser,player_5605166c,baseline_division_of_labor_large,2b11cb4fc59d0e22,train,238.22828567646658,118.51452390138388,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
973,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_5605166c,baseline_division_of_labor_large,2b11cb4fc59d0e22,train,238.22828567646658,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1220,plate,put down,Counter_22,Counter,22,put down plate on counter,player_5605166c,baseline_division_of_labor_large,2b11cb4fc59d0e22,train,324.763407019384,86.53512134291739,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1336,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5605166c,baseline_division_of_labor_large,2b11cb4fc59d0e22,train,363.2985283623168,38.535121342932825,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1555,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_5605166c,baseline_division_of_labor_large,2b11cb4fc59d0e22,train,433.8336497052459,70.53512134292907,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1658,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_5605166c,baseline_division_of_labor_large,2b11cb4fc59d0e22,train,433.8336497052459,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1678,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_5605166c,baseline_division_of_labor_large,2b11cb4fc59d0e22,train,433.8336497052459,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1733,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_5605166c,baseline_division_of_labor_large,2b11cb4fc59d0e22,train,433.8336497052459,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1904,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_5605166c,baseline_division_of_labor_large,2b11cb4fc59d0e22,train,510.8873157564907,77.05366605124482,1.0,1.0,1.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
