tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
193,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,22.62741699796951,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,,[],,,
323,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,115.44301569551791,92.8155986975484,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,player_82ce32d0,['player_82ce32d0'],,,
377,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,115.68111485774874,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,,[],,,
477,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,154.21623620067865,38.53512134292991,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,player_48b00f3c,['player_48b00f3c'],,,
506,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,154.21623620067865,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,player_48b00f3c,['player_48b00f3c'],,,False
530,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,240.30069742934953,124.8576817338316,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,,[],,,
596,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,192.73078259600217,38.51454639532352,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,player_48b00f3c,"['player_48b00f3c', 'player_48b00f3c']",,,
632,plate,put down,Counter_23,Counter,23,put down plate on counter,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,333.1303540248569,92.82965659550736,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,player_82ce32d0,['player_82ce32d0'],,,
775,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,256.730782596002,63.9999999999998,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,,[],,,
908,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,419.6996315715877,86.56927754673075,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,player_82ce32d0,['player_82ce32d0'],,,False
946,plate,put down,Counter_23,Counter,23,put down plate on counter,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,419.6996315715877,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,player_82ce32d0,"['player_82ce32d0', 'player_82ce32d0']",,,
959,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,327.26590393893105,70.53512134292907,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,player_48b00f3c,['player_48b00f3c'],,,
1234,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,445.7804278403155,118.5145239013845,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,,[],,,
1394,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,646.887282623304,227.1876510517164,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,player_82ce32d0,['player_82ce32d0'],,,False
1430,plate,put down,Counter_22,Counter,22,put down plate on counter,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,532.3155491832318,86.53512134291628,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,player_48b00f3c,['player_48b00f3c'],,,
1455,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,678.8872826233028,31.99999999999875,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,player_82ce32d0,['player_82ce32d0'],"['player_82ce32d0', 'player_82ce32d0']","['player_82ce32d0', 'player_82ce32d0']",False
1484,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,678.8872826233028,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,player_82ce32d0,['player_82ce32d0'],"['player_82ce32d0', 'player_82ce32d0']","['player_82ce32d0', 'player_82ce32d0']",False
1604,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,787.763495048502,108.87621242519924,1.0,1.0,1.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,player_82ce32d0,"['player_82ce32d0', 'player_82ce32d0']","['player_82ce32d0', 'player_82ce32d0']","['player_82ce32d0', 'player_82ce32d0']",
1624,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,618.8506705261494,86.53512134291759,1.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,,[],,,
1660,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,803.7634950485017,15.99999999999966,1.0,0.0,1.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,,[],,,
1801,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,883.7634950484982,79.99999999999648,1.0,0.0,1.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,player_82ce32d0,['player_82ce32d0'],,,
1898,plate,put down,Counter_23,Counter,23,put down plate on counter,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,711.9068514789212,93.0561809527718,1.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,player_48b00f3c,['player_48b00f3c'],,,
1913,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,995.7634950484936,111.99999999999534,1.0,0.0,1.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,,[],,,
2093,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,782.3219220268771,70.4150705479559,1.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,player_48b00f3c,['player_48b00f3c'],,,False
2174,plate,put down,Counter_25,Counter,25,put down plate on counter,player_82ce32d0,baseline_division_of_labor_large,318d9d2d39fb5605,train,1271.9088113749544,276.14531632646094,1.0,0.0,1.0,1.0,0.2,"(5, 2)",6568392b52c623baba4fab16,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_82ce32d0_actions,player_82ce32d0,['player_82ce32d0'],,,
2188,plate,put down,Counter_22,Counter,22,put down plate on counter,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,822.3677019690116,40.04577994213446,1.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,player_48b00f3c,"['player_48b00f3c', 'player_48b00f3c']",,,
2245,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,1,pick up tomato_cut from cuttingboard,player_48b00f3c,baseline_division_of_labor_large,318d9d2d39fb5605,train,838.3677019690109,15.999999999999318,1.0,0.0,0.0,0.4,1.0,"(1, 2)",65aaa0b601581c2899e7ce48,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_48b00f3c_actions,player_48b00f3c,"['player_48b00f3c', 'player_48b00f3c']",,,False
