tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
129,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_73885e5d,baseline_division_of_labor_large,334d3267dbd5c95e,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6728332a47c2c47f9daef26f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
386,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_73885e5d,baseline_division_of_labor_large,334d3267dbd5c95e,train,265.7383958857097,249.73839588570968,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6728332a47c2c47f9daef26f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
535,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_73885e5d,baseline_division_of_labor_large,334d3267dbd5c95e,train,390.57114909817085,124.83275321246117,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6728332a47c2c47f9daef26f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
715,plate,put down,Counter_23,Counter,23,put down plate on counter,player_73885e5d,baseline_division_of_labor_large,334d3267dbd5c95e,train,492.88033541151214,102.30918631334129,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6728332a47c2c47f9daef26f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
947,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_73885e5d,baseline_division_of_labor_large,334d3267dbd5c95e,train,633.5698092624164,140.68947385090422,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6728332a47c2c47f9daef26f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1016,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_73885e5d,baseline_division_of_labor_large,334d3267dbd5c95e,train,697.5698092624136,63.99999999999727,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6728332a47c2c47f9daef26f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1687,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_73885e5d,baseline_division_of_labor_large,334d3267dbd5c95e,train,697.5698092624136,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6728332a47c2c47f9daef26f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1739,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_73885e5d,baseline_division_of_labor_large,334d3267dbd5c95e,train,729.5698092624125,31.999999999998863,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6728332a47c2c47f9daef26f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1790,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_73885e5d,baseline_division_of_labor_large,334d3267dbd5c95e,train,761.5698092624112,31.99999999999875,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6728332a47c2c47f9daef26f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1861,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_73885e5d,baseline_division_of_labor_large,334d3267dbd5c95e,train,825.5698092624084,63.99999999999716,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6728332a47c2c47f9daef26f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
