tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
367,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0b128148,baseline_division_of_labor_large,4a1bcc4b94d1019f,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",677d99d7e6122bb726370792,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_0b128148_actions,,[],,,
481,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_2cf4c2fb,baseline_division_of_labor_large,4a1bcc4b94d1019f,train,70.51452390252402,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ac5a9a9f69e940001d984b5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2cf4c2fb_actions,,[],,,
501,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_0b128148,baseline_division_of_labor_large,4a1bcc4b94d1019f,train,92.8349255297855,76.8349255297855,0.0,0.0,0.0,1.0,0.2,"(5, 2)",677d99d7e6122bb726370792,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_0b128148_actions,player_0b128148,['player_0b128148'],,,
658,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_2cf4c2fb,baseline_division_of_labor_large,4a1bcc4b94d1019f,train,115.76935789846353,45.25483399593951,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ac5a9a9f69e940001d984b5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2cf4c2fb_actions,player_2cf4c2fb,['player_2cf4c2fb'],,,
737,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0b128148,baseline_division_of_labor_large,4a1bcc4b94d1019f,train,156.8349255297855,64.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",677d99d7e6122bb726370792,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_0b128148_actions,,[],,,
924,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_0b128148,baseline_division_of_labor_large,4a1bcc4b94d1019f,train,220.83492552978555,64.00000000000006,0.0,0.0,0.0,1.0,0.2,"(5, 2)",677d99d7e6122bb726370792,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_0b128148_actions,player_0b128148,['player_0b128148'],,,
956,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_2cf4c2fb,baseline_division_of_labor_large,4a1bcc4b94d1019f,train,208.82305653721295,93.05369863874944,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ac5a9a9f69e940001d984b5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2cf4c2fb_actions,,[],,,
1159,plate,put down,Counter_22,Counter,22,put down plate on counter,player_2cf4c2fb,baseline_division_of_labor_large,4a1bcc4b94d1019f,train,295.35817788013037,86.53512134291739,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ac5a9a9f69e940001d984b5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2cf4c2fb_actions,player_2cf4c2fb,['player_2cf4c2fb'],,,
1200,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0b128148,baseline_division_of_labor_large,4a1bcc4b94d1019f,train,284.8349255297856,64.00000000000006,0.0,0.0,0.0,1.0,0.2,"(5, 2)",677d99d7e6122bb726370792,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_0b128148_actions,,[],,,
1303,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_2cf4c2fb,baseline_division_of_labor_large,4a1bcc4b94d1019f,train,311.35817788012946,15.99999999999909,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ac5a9a9f69e940001d984b5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2cf4c2fb_actions,player_2cf4c2fb,['player_2cf4c2fb'],,,False
