tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
417,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,125.1336867862133,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
625,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,218.07728186341552,92.94359507720222,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
738,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,218.07728186341552,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
917,tomato_cut,put down,Counter_23,Counter,23,put down tomato_cut on counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,250.0772818634153,31.999999999999773,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1155,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,336.4923287867471,86.41504692333183,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1368,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,407.1197457847162,70.62741699796908,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1464,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,407.1197457847162,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1492,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,407.1197457847162,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1772,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,525.6342696861007,118.51452390138445,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2046,plate,put down,Counter_25,Counter,25,put down plate on counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,650.9304129323637,125.296143246263,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2158,plate,pick up,Counter_25,Counter,25,pick up plate from counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,685.9304129323318,34.99999999996817,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2252,plate,assemble salad,Counter_23,Counter,23,assemble salad,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,717.9304129323314,31.999999999999545,1.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2290,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,717.9304129323314,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2388,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,756.4449593276537,38.51454639532233,2.0,1.0,1.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2523,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,810.9800806705784,54.535121342924754,2.0,0.0,1.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2722,plate,assemble salad,Counter_22,Counter,22,assemble salad,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,897.5152020134944,86.535121342916,2.0,0.0,1.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2791,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,922.5152020134935,24.99999999999909,2.0,0.0,1.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2873,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,train,954.5152020134931,31.999999999999545,3.0,1.0,2.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3178,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1089.029725916021,134.51452390252803,0.0,0.0,2.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3364,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1159.5648472589478,70.53512134292669,0.0,0.0,2.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3461,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1159.5648472589478,0.0,0.0,0.0,2.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3481,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1159.5648472589478,0.0,0.0,0.0,2.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3650,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1230.0793711603378,70.51452390139002,0.0,0.0,2.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3812,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1300.6144925032645,70.53512134292669,0.0,0.0,2.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3909,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1300.6144925032645,0.0,0.0,0.0,2.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4293,tomato_cut,put down,Counter_24,Counter,24,put down tomato_cut on counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1447.5671557429505,146.952663239686,0.0,0.0,2.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4661,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1601.5427129414759,153.9755571985254,0.0,0.0,2.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4855,plate,assemble salad,Counter_22,Counter,22,assemble salad,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1688.0778342843898,86.53512134291395,0.0,0.0,2.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4882,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1688.0778342843898,0.0,0.0,0.0,2.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4965,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1720.0778342843894,31.999999999999545,1.0,1.0,3.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
5095,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1774.612955627312,54.535121342922594,1.0,0.0,3.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
5306,plate,assemble salad,Counter_23,Counter,23,assemble salad,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1867.666654266065,93.05369863875308,1.0,0.0,3.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
5338,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1867.666654266065,0.0,1.0,0.0,3.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
5479,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1928.4072403451214,60.74058607905636,2.0,1.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
5532,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,1944.4072403451225,16.000000000001137,2.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
5679,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2008.4072403451223,63.99999999999977,2.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
5774,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2008.4072403451223,0.0,2.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
5846,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2024.4072403451235,16.000000000001137,3.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
5960,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2072.4072403451223,47.99999999999886,3.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
6107,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2136.4072403451364,64.0000000000141,3.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
6199,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2136.4072403451364,0.0,3.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
6283,tomato_cut,put down,Counter_23,Counter,23,put down tomato_cut on counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2168.4072403451473,32.000000000010914,3.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
6477,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2254.8222872684846,86.41504692333729,4.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
6625,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2318.8222872684987,64.0000000000141,4.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
6717,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2318.8222872684987,0.0,4.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
6838,tomato_cut,put down,Counter_24,Counter,24,put down tomato_cut on counter,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2366.822287268513,48.0000000000141,5.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
7062,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2469.237334191854,102.41504692334138,6.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
7212,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2533.2373341918683,64.0000000000141,6.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
7307,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_28dc8593,baseline_division_of_labor_large,6113ed5bfaf2fa19,test,2533.2373341918683,0.0,6.0,0.0,4.0,0.4,1.0,"(1, 2)",65b68acc71be98a237ceb19d,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
