tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
137,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_dddc5860,baseline_division_of_labor_large,994f1f1f342fbfc1,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66c93d73a7a2530dfab2de60,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_dddc5860_actions,,[],,,
329,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_dddc5860,baseline_division_of_labor_large,994f1f1f342fbfc1,train,80.0,64.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66c93d73a7a2530dfab2de60,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_dddc5860_actions,player_dddc5860,['player_dddc5860'],,,
498,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_93307eed,baseline_division_of_labor_large,994f1f1f342fbfc1,train,131.40593823875258,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ee00ba7431cdf357dca02ab,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_93307eed_actions,,[],,,
737,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_dddc5860,baseline_division_of_labor_large,994f1f1f342fbfc1,train,204.85351189148136,124.85351189148136,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66c93d73a7a2530dfab2de60,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_dddc5860_actions,,[],,,
750,plate,put down,Counter_23,Counter,23,put down plate on counter,player_93307eed,baseline_division_of_labor_large,994f1f1f342fbfc1,train,226.89293229387204,95.48699405511944,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ee00ba7431cdf357dca02ab,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_93307eed_actions,player_93307eed,['player_93307eed'],,,
851,plate,put down,Counter_22,Counter,22,put down plate on counter,player_dddc5860,baseline_division_of_labor_large,994f1f1f342fbfc1,train,291.40886314272046,86.5553512512391,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66c93d73a7a2530dfab2de60,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_dddc5860_actions,player_dddc5860,['player_dddc5860'],,,
875,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_93307eed,baseline_division_of_labor_large,994f1f1f342fbfc1,train,272.14776628981116,45.25483399593912,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ee00ba7431cdf357dca02ab,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_93307eed_actions,,[],,,
1032,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_93307eed,baseline_division_of_labor_large,994f1f1f342fbfc1,train,336.96690100845683,64.81913471864567,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5ee00ba7431cdf357dca02ab,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_93307eed_actions,player_93307eed,['player_93307eed'],,,
1100,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_dddc5860,baseline_division_of_labor_large,994f1f1f342fbfc1,train,329.9180948890296,38.509231746309126,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66c93d73a7a2530dfab2de60,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_dddc5860_actions,player_dddc5860,['player_dddc5860'],,,False
1136,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_dddc5860,baseline_division_of_labor_large,994f1f1f342fbfc1,train,345.91809488902965,16.000000000000057,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66c93d73a7a2530dfab2de60,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_dddc5860_actions,player_dddc5860,['player_dddc5860'],"['player_dddc5860', 'player_dddc5860']",['player_dddc5860'],False
