tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
302,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_b58c4263,baseline_division_of_labor_large,a1110d2d33597782,train,70.51452390252402,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65edcb21fa595679e6cfbc4b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
600,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_b58c4263,baseline_division_of_labor_large,a1110d2d33597782,train,141.1419409004934,70.62741699796939,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65edcb21fa595679e6cfbc4b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1064,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_b58c4263,baseline_division_of_labor_large,a1110d2d33597782,train,274.65286325691727,133.51092235642386,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65edcb21fa595679e6cfbc4b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1367,plate,put down,Counter_23,Counter,23,put down plate on counter,player_b58c4263,baseline_division_of_labor_large,a1110d2d33597782,train,396.50661527577796,121.85375201886069,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65edcb21fa595679e6cfbc4b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1394,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_b58c4263,baseline_division_of_labor_large,a1110d2d33597782,train,396.50661527577796,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65edcb21fa595679e6cfbc4b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1804,plate,put down,Counter_23,Counter,23,put down plate on counter,player_b58c4263,baseline_division_of_labor_large,a1110d2d33597782,train,540.3618270817814,143.8552118060034,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65edcb21fa595679e6cfbc4b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1834,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_b58c4263,baseline_division_of_labor_large,a1110d2d33597782,train,540.3618270817814,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65edcb21fa595679e6cfbc4b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1861,plate,put down,Counter_23,Counter,23,put down plate on counter,player_b58c4263,baseline_division_of_labor_large,a1110d2d33597782,train,540.3618270817814,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65edcb21fa595679e6cfbc4b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2115,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_b58c4263,baseline_division_of_labor_large,a1110d2d33597782,train,594.776897629738,54.41507054795659,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65edcb21fa595679e6cfbc4b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2228,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_b58c4263,baseline_division_of_labor_large,a1110d2d33597782,train,626.7768976297364,31.99999999999841,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65edcb21fa595679e6cfbc4b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2541,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_b58c4263,baseline_division_of_labor_large,a1110d2d33597782,train,713.1919445543933,86.41504692465696,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65edcb21fa595679e6cfbc4b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
