tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
176,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3cce3169,baseline_division_of_labor_large,b2be7bc9dff59f21,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d219d16072b440018aebe98,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
287,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_3cce3169,baseline_division_of_labor_large,b2be7bc9dff59f21,train,92.8349255297855,76.8349255297855,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d219d16072b440018aebe98,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
527,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_3cce3169,baseline_division_of_labor_large,b2be7bc9dff59f21,train,108.8349255297855,16.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d219d16072b440018aebe98,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
547,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_3cce3169,baseline_division_of_labor_large,b2be7bc9dff59f21,train,108.8349255297855,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d219d16072b440018aebe98,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
575,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_3cce3169,baseline_division_of_labor_large,b2be7bc9dff59f21,train,108.8349255297855,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d219d16072b440018aebe98,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
627,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_3cce3169,baseline_division_of_labor_large,b2be7bc9dff59f21,train,124.8349255297855,16.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d219d16072b440018aebe98,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1012,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_3cce3169,baseline_division_of_labor_large,b2be7bc9dff59f21,train,345.4403310178834,220.60540548809792,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d219d16072b440018aebe98,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1137,plate,put down,Counter_23,Counter,23,put down plate on counter,player_3cce3169,baseline_division_of_labor_large,b2be7bc9dff59f21,train,438.26998761339075,92.82965659550734,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d219d16072b440018aebe98,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1701,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_3cce3169,baseline_division_of_labor_large,b2be7bc9dff59f21,train,508.5881060093106,70.31811839591984,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d219d16072b440018aebe98,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1760,plate,put down,CuttingBoard_10,CuttingBoard,10,put down plate on cuttingboard,player_3cce3169,baseline_division_of_labor_large,b2be7bc9dff59f21,train,524.5881060093104,15.99999999999983,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d219d16072b440018aebe98,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
