tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
140,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,22.62741699796951,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,,[],,,
242,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f649aa0f,baseline_division_of_labor_large,bcace6f4872d90b0,train,70.51452390138468,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5f1db570f7e0002b7eb1c1dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_f649aa0f_actions,,[],,,
401,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_f649aa0f,baseline_division_of_labor_large,bcace6f4872d90b0,train,143.1594421665768,72.64491826519213,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5f1db570f7e0002b7eb1c1dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_f649aa0f_actions,player_f649aa0f,['player_f649aa0f'],,,
579,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,306.9694914227522,284.34207442478265,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,player_cd678ae0,['player_cd678ae0'],,,
658,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_f649aa0f,baseline_division_of_labor_large,bcace6f4872d90b0,train,255.15944216657655,111.99999999999976,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5f1db570f7e0002b7eb1c1dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_f649aa0f_actions,,[],,,
737,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,431.6731642072009,124.70367278444871,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,,[],,,
909,plate,put down,Counter_22,Counter,22,put down plate on counter,player_f649aa0f,baseline_division_of_labor_large,bcace6f4872d90b0,train,373.00520978120335,117.84576761462677,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5f1db570f7e0002b7eb1c1dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_f649aa0f_actions,player_f649aa0f,['player_f649aa0f'],,,
937,plate,put down,Counter_23,Counter,23,put down plate on counter,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,534.3005812051699,102.62741699796902,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,player_cd678ae0,['player_cd678ae0'],,,
1067,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,1,pick up tomato_cut from cuttingboard,player_f649aa0f,baseline_division_of_labor_large,bcace6f4872d90b0,train,389.00520978120267,15.999999999999318,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5f1db570f7e0002b7eb1c1dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_f649aa0f_actions,player_cd678ae0,['player_cd678ae0'],,,True
1116,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,636.7838042909384,102.48322308576849,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,,[],,,
1156,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_f649aa0f,baseline_division_of_labor_large,bcace6f4872d90b0,train,421.0052097812011,31.99999999999841,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5f1db570f7e0002b7eb1c1dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_f649aa0f_actions,player_cd678ae0,['player_f649aa0f'],"['player_cd678ae0', 'player_f649aa0f']",['player_cd678ae0'],True
1223,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,716.7838042909349,79.99999999999648,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,player_cd678ae0,['player_cd678ae0'],,,
1559,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,732.7838042909343,15.999999999999432,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,player_f649aa0f,['player_f649aa0f'],,,True
1599,plate,put down,CuttingBoard_10,CuttingBoard,10,put down plate on cuttingboard,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,748.7838042909339,15.999999999999543,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,player_cd678ae0,"['player_f649aa0f', 'player_cd678ae0']",,,
1599,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,748.7838042909339,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,player_cd678ae0,"['player_f649aa0f', 'player_cd678ae0']",,,False
1664,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,764.7838042909334,15.999999999999543,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,player_cd678ae0,"['player_f649aa0f', 'player_cd678ae0', 'player_cd678ae0']",,,
1791,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,860.7838042909294,95.99999999999602,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,,[],,,
1845,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_f649aa0f,baseline_division_of_labor_large,bcace6f4872d90b0,train,492.0052097812177,71.0000000000166,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5f1db570f7e0002b7eb1c1dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_f649aa0f_actions,player_f649aa0f,['player_f649aa0f'],"['player_cd678ae0', 'player_f649aa0f']",['player_cd678ae0'],False
1888,plate,put down,Counter_23,Counter,23,put down plate on counter,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,953.6134608864376,92.82965659550804,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,player_cd678ae0,['player_cd678ae0'],,,
1921,tomato_cut,pick up,Counter_22,Counter,22,pick up tomato_cut from counter,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,969.6134608864368,15.999999999999318,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,player_cd678ae0,"['player_f649aa0f', 'player_cd678ae0', 'player_cd678ae0']",,,False
1926,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,969.6134608864368,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,player_cd678ae0,"['player_f649aa0f', 'player_cd678ae0', 'player_cd678ae0', 'player_cd678ae0']",,,
1957,tomato_cut,pick up,Counter_22,Counter,22,pick up tomato_cut from counter,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,969.6134608864368,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,player_cd678ae0,"['player_f649aa0f', 'player_cd678ae0', 'player_cd678ae0', 'player_cd678ae0']",,,False
1976,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_cd678ae0,baseline_division_of_labor_large,bcace6f4872d90b0,train,969.6134608864368,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5d3221b8eb6cfa0001950113,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cd678ae0_actions,player_cd678ae0,"['player_f649aa0f', 'player_cd678ae0', 'player_cd678ae0', 'player_cd678ae0', 'player_cd678ae0']",,,
