tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
248,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,50.42286500930123,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
323,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,66.42286500930123,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
563,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,106.42286500931851,40.00000000001728,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
568,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,106.42286500931851,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
621,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,106.42286500931851,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
667,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,122.42286500931851,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1032,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,250.0328650092465,127.609999999928,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1254,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,304.5662311283146,54.53336611906809,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1457,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,374.9813016762723,70.41507054795773,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1510,plate,put down,Counter_22,Counter,22,put down plate on counter,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,405.98130167627664,31.00000000000432,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1578,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,421.98130167627596,15.999999999999318,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1644,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,437.9813016762753,15.999999999999318,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1676,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,437.9813016762753,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1821,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,492.51466779534434,54.53336611906906,1.0,1.0,1.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1884,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,508.5146677953437,15.999999999999375,1.0,0.0,1.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2017,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,547.0497891382743,38.53512134293055,1.0,0.0,1.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2245,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_5c5160c1,baseline_division_of_labor_large,ce4bed68e235bed8,train,633.5849104811919,86.53512134291759,1.0,0.0,1.0,0.4,1.0,"(1, 2)",63052f20afc39e87110eb83e,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
