tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
135,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7b104eb9,baseline_division_of_labor_large,dee50cbd0b2f8034,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66ba5e1536b184eb208686a3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7b104eb9_actions,,[],,,
206,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_7b104eb9,baseline_division_of_labor_large,dee50cbd0b2f8034,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66ba5e1536b184eb208686a3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7b104eb9_actions,player_7b104eb9,['player_7b104eb9'],,,
241,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_7b104eb9,baseline_division_of_labor_large,dee50cbd0b2f8034,train,54.48322308577236,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66ba5e1536b184eb208686a3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7b104eb9_actions,player_7b104eb9,['player_7b104eb9'],,,False
357,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_701c21cb,baseline_division_of_labor_large,dee50cbd0b2f8034,train,70.51452390467597,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_701c21cb_actions,,[],,,
407,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_7b104eb9,baseline_division_of_labor_large,dee50cbd0b2f8034,train,54.48322308577236,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66ba5e1536b184eb208686a3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7b104eb9_actions,player_7b104eb9,"['player_7b104eb9', 'player_7b104eb9']",,,
456,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_7b104eb9,baseline_division_of_labor_large,dee50cbd0b2f8034,train,54.48322308577236,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66ba5e1536b184eb208686a3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7b104eb9_actions,player_7b104eb9,"['player_7b104eb9', 'player_7b104eb9']",,,False
522,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_701c21cb,baseline_division_of_labor_large,dee50cbd0b2f8034,train,134.5145239046758,63.99999999999983,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_701c21cb_actions,player_701c21cb,['player_701c21cb'],,,
599,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_7b104eb9,baseline_division_of_labor_large,dee50cbd0b2f8034,train,93.11064008374191,38.62741699796957,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66ba5e1536b184eb208686a3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7b104eb9_actions,player_7b104eb9,"['player_7b104eb9', 'player_7b104eb9', 'player_7b104eb9']",,,
750,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_7b104eb9,baseline_division_of_labor_large,dee50cbd0b2f8034,train,205.1106400837419,112.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66ba5e1536b184eb208686a3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7b104eb9_actions,,[],,,
851,plate,put down,Counter_22,Counter,22,put down plate on counter,player_7b104eb9,baseline_division_of_labor_large,dee50cbd0b2f8034,train,291.6659913349811,86.55535125123913,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66ba5e1536b184eb208686a3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7b104eb9_actions,player_7b104eb9,['player_7b104eb9'],,,
