tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
473,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,151.05390652031025,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
585,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,189.58902786324015,38.5351213429299,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
777,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,250.23817490463253,60.64914704139238,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
935,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,288.865591902602,38.62741699796945,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1231,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,400.86559190259993,111.99999999999795,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1431,plate,put down,Counter_23,Counter,23,put down plate on counter,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,493.81977995514535,92.95418805254542,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1649,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,586.8734785938938,93.05369863874841,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1895,plate,put down,Counter_24,Counter,24,put down plate on counter,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,695.8137748080883,108.94029621419452,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2148,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,798.2288453560416,102.41507054795329,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2208,plate,put down,Counter_23,Counter,23,put down plate on counter,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,798.2288453560416,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2605,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,830.22884535604,31.99999999999841,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2712,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,862.2288453560384,31.99999999999841,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2741,tomato_cut,pick up,Counter_23,Counter,23,pick up tomato_cut from counter,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,862.2288453560384,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2879,tomato_cut,put down,Delivery_53,Delivery,53,put down tomato_cut on delivery,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,train,911.1564483912401,48.92760303520174,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3190,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,1012.6029404254195,101.44649203417941,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3337,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,1076.6029404254193,63.99999999999977,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3495,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,1140.602940425419,63.99999999999977,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3654,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,1204.6029404254189,63.99999999999977,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4251,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,1487.776957250804,283.174016825385,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4485,plate,put down,Counter_23,Counter,23,put down plate on counter,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,1580.731145303351,92.95418805254712,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4693,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,1635.1462158513093,54.415070547958294,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
5174,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,1862.1904001373168,227.04418428600752,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
5197,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,1862.1904001373168,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
5656,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,2073.248777169136,211.05837703181896,1.0,1.0,1.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
6081,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,2207.668708099418,134.41993093028213,1.0,0.0,1.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
6272,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,2278.2394284921543,70.57072039273635,1.0,0.0,1.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
7061,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,2556.1674945027057,277.92806601055145,1.0,0.0,1.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
7301,plate,put down,Counter_23,Counter,23,put down plate on counter,player_4628ee61,baseline_division_of_labor_large,e21c625877163e94,test,2649.121682555251,92.9541880525453,1.0,0.0,1.0,0.4,1.0,"(1, 2)",6486aa634b94f1dd568fd487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
