tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
121,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_a9c69e6d,baseline_division_of_labor_large,ea5d54113a24fd1d,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6108f7876d88d5079619afca,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_a9c69e6d_actions,,[],,,
270,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_a9c69e6d,baseline_division_of_labor_large,ea5d54113a24fd1d,train,96.0,80.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6108f7876d88d5079619afca,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_a9c69e6d_actions,player_a9c69e6d,['player_a9c69e6d'],,,
324,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_a9c69e6d,baseline_division_of_labor_large,ea5d54113a24fd1d,train,134.48322308577238,38.48322308577238,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6108f7876d88d5079619afca,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_a9c69e6d_actions,,[],,,
384,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_a9c69e6d,baseline_division_of_labor_large,ea5d54113a24fd1d,train,179.73805708171113,45.25483399593875,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6108f7876d88d5079619afca,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_a9c69e6d_actions,player_a9c69e6d,['player_a9c69e6d'],,,
469,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_7f1cb233,baseline_division_of_labor_large,ea5d54113a24fd1d,train,126.8258495316431,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66a02700042f0e4fab8b698f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7f1cb233_actions,player_a9c69e6d,['player_a9c69e6d'],,,True
481,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_a9c69e6d,baseline_division_of_labor_large,ea5d54113a24fd1d,train,250.05617547763123,70.3181183959201,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6108f7876d88d5079619afca,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_a9c69e6d_actions,player_a9c69e6d,['player_a9c69e6d'],,,False
517,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_a9c69e6d,baseline_division_of_labor_large,ea5d54113a24fd1d,train,266.0561754776313,16.000000000000085,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6108f7876d88d5079619afca,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_a9c69e6d_actions,player_a9c69e6d,"['player_a9c69e6d', 'player_a9c69e6d']",,,
924,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_7f1cb233,baseline_division_of_labor_large,ea5d54113a24fd1d,train,333.3743363560312,206.54848682438816,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66a02700042f0e4fab8b698f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7f1cb233_actions,player_7f1cb233,"['player_a9c69e6d', 'player_7f1cb233']",,,
1079,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_a9c69e6d,baseline_division_of_labor_large,ea5d54113a24fd1d,train,460.5561754776457,194.5000000000144,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6108f7876d88d5079619afca,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_a9c69e6d_actions,,[],,,
1173,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_7f1cb233,baseline_division_of_labor_large,ea5d54113a24fd1d,train,420.0017533540011,86.62741699796993,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66a02700042f0e4fab8b698f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7f1cb233_actions,,[],,,
1185,plate,put down,Counter_23,Counter,23,put down plate on counter,player_a9c69e6d,baseline_division_of_labor_large,ea5d54113a24fd1d,train,553.3858320731534,92.82965659550774,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6108f7876d88d5079619afca,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_a9c69e6d_actions,player_a9c69e6d,['player_a9c69e6d'],,,
1263,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_a9c69e6d,baseline_division_of_labor_large,ea5d54113a24fd1d,train,607.7039504690731,54.31811839591967,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6108f7876d88d5079619afca,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_a9c69e6d_actions,player_a9c69e6d,"['player_a9c69e6d', 'player_a9c69e6d']",,,False
1320,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_a9c69e6d,baseline_division_of_labor_large,ea5d54113a24fd1d,train,639.703950469072,31.999999999998863,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6108f7876d88d5079619afca,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_a9c69e6d_actions,player_a9c69e6d,['player_a9c69e6d'],"['player_a9c69e6d', 'player_a9c69e6d', 'player_a9c69e6d']",['player_a9c69e6d'],False
1356,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_a9c69e6d,baseline_division_of_labor_large,ea5d54113a24fd1d,train,639.703950469072,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6108f7876d88d5079619afca,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_a9c69e6d_actions,player_a9c69e6d,['player_a9c69e6d'],"['player_a9c69e6d', 'player_a9c69e6d', 'player_a9c69e6d']",['player_a9c69e6d'],False
1574,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_a9c69e6d,baseline_division_of_labor_large,ea5d54113a24fd1d,train,748.6764970108763,108.97254654180438,1.0,1.0,1.0,1.0,0.2,"(5, 2)",6108f7876d88d5079619afca,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_a9c69e6d_actions,player_a9c69e6d,"['player_a9c69e6d', 'player_a9c69e6d']","['player_a9c69e6d', 'player_a9c69e6d', 'player_a9c69e6d']",['player_a9c69e6d'],
1590,plate,put down,Counter_23,Counter,23,put down plate on counter,player_7f1cb233,baseline_division_of_labor_large,ea5d54113a24fd1d,train,582.361031289736,162.3592779357349,1.0,0.0,0.0,0.4,1.0,"(1, 2)",66a02700042f0e4fab8b698f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7f1cb233_actions,player_7f1cb233,['player_7f1cb233'],,,
