tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
131,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_538a04b0,baseline_division_of_labor_large,fc9c1930af331c77,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",612e7ef85edba8d26ef96c99,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_538a04b0_actions,,[],,,
519,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_538a04b0,baseline_division_of_labor_large,fc9c1930af331c77,train,297.639079477005,281.639079477005,0.0,0.0,0.0,1.0,0.2,"(5, 2)",612e7ef85edba8d26ef96c99,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_538a04b0_actions,player_538a04b0,['player_538a04b0'],,,
541,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0293faf2,baseline_division_of_labor_large,fc9c1930af331c77,train,166.12269370773728,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5e1038bc6e4db674b3df4b76,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_0293faf2_actions,,[],,,
861,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_538a04b0,baseline_division_of_labor_large,fc9c1930af331c77,train,547.0963261935472,249.45724671654216,0.0,0.0,0.0,1.0,0.2,"(5, 2)",612e7ef85edba8d26ef96c99,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_538a04b0_actions,,[],,,
904,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_0293faf2,baseline_division_of_labor_large,fc9c1930af331c77,train,230.1226937077371,63.99999999999983,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5e1038bc6e4db674b3df4b76,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_0293faf2_actions,player_0293faf2,['player_0293faf2'],,,
912,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_538a04b0,baseline_division_of_labor_large,fc9c1930af331c77,train,585.5795492793188,38.48322308577167,0.0,0.0,0.0,1.0,0.2,"(5, 2)",612e7ef85edba8d26ef96c99,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_538a04b0_actions,player_538a04b0,['player_538a04b0'],,,
1004,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_538a04b0,baseline_division_of_labor_large,fc9c1930af331c77,train,672.1349005305573,86.55535125123845,0.0,0.0,0.0,1.0,0.2,"(5, 2)",612e7ef85edba8d26ef96c99,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_538a04b0_actions,,[],,,
1096,plate,put down,Counter_23,Counter,23,put down plate on counter,player_538a04b0,baseline_division_of_labor_large,fc9c1930af331c77,train,764.9645571260653,92.82965659550804,0.0,0.0,0.0,1.0,0.2,"(5, 2)",612e7ef85edba8d26ef96c99,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_538a04b0_actions,player_538a04b0,['player_538a04b0'],,,
1201,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_538a04b0,baseline_division_of_labor_large,fc9c1930af331c77,train,857.9688331837775,93.00427605771222,0.0,0.0,0.0,1.0,0.2,"(5, 2)",612e7ef85edba8d26ef96c99,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_538a04b0_actions,,[],,,
1222,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_0293faf2,baseline_division_of_labor_large,fc9c1930af331c77,train,230.1226937077371,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5e1038bc6e4db674b3df4b76,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_0293faf2_actions,player_538a04b0,['player_538a04b0'],,,True
