tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
224,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_f0f5aac4,baseline_division_of_labor_large,18b7ac91a19a0404,train,118.50919797850167,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5e814f98193c1983e819818f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_f0f5aac4_actions,,[],,,
261,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_534cd0c1,baseline_division_of_labor_large,18b7ac91a19a0404,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",664b699bc372e4bacee22ecb,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_534cd0c1_actions,,[],,,
326,plate,put down,Counter_22,Counter,22,put down plate on counter,player_f0f5aac4,baseline_division_of_labor_large,18b7ac91a19a0404,train,205.0645492297407,86.555351251239,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5e814f98193c1983e819818f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_f0f5aac4_actions,player_f0f5aac4,['player_f0f5aac4'],,,
352,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_534cd0c1,baseline_division_of_labor_large,18b7ac91a19a0404,train,80.0,64.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",664b699bc372e4bacee22ecb,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_534cd0c1_actions,player_534cd0c1,['player_534cd0c1'],,,
377,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f0f5aac4,baseline_division_of_labor_large,18b7ac91a19a0404,train,243.5477723155132,38.483223085772494,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5e814f98193c1983e819818f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_f0f5aac4_actions,,[],,,
428,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_534cd0c1,baseline_division_of_labor_large,18b7ac91a19a0404,train,144.0,64.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",664b699bc372e4bacee22ecb,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_534cd0c1_actions,,[],,,
506,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_534cd0c1,baseline_division_of_labor_large,18b7ac91a19a0404,train,208.00000000000009,64.00000000000006,0.0,0.0,0.0,1.0,1.0,"(5, 2)",664b699bc372e4bacee22ecb,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_534cd0c1_actions,player_534cd0c1,['player_534cd0c1'],,,
580,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_f0f5aac4,baseline_division_of_labor_large,18b7ac91a19a0404,train,307.54777231551327,64.00000000000009,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5e814f98193c1983e819818f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_f0f5aac4_actions,player_f0f5aac4,['player_f0f5aac4'],,,
580,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,1,pick up tomato_cut from cuttingboard,player_f0f5aac4,baseline_division_of_labor_large,18b7ac91a19a0404,train,307.54777231551327,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5e814f98193c1983e819818f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_f0f5aac4_actions,player_f0f5aac4,['player_f0f5aac4'],,,False
654,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_f0f5aac4,baseline_division_of_labor_large,18b7ac91a19a0404,train,323.5477723155133,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5e814f98193c1983e819818f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_f0f5aac4_actions,player_f0f5aac4,['player_f0f5aac4'],"['player_f0f5aac4', 'player_f0f5aac4']",['player_f0f5aac4'],False
