tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
102,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,,[],,,
179,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,80.0,64.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_ff564ae8,['player_ff564ae8'],,,
236,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,70.5091979785024,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,,[],,,
271,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,108.9924210642748,38.48322308577241,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,player_86930b99,['player_86930b99'],,,
322,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,147.47564415004726,38.48322308577245,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,,[],,,
332,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,144.0,64.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,,[],,,
376,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,192.730478145986,45.25483399593875,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,player_86930b99,['player_86930b99'],,,
420,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,208.00000000000009,64.00000000000006,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_ff564ae8,['player_ff564ae8'],,,
454,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,285.73475420369743,93.00427605771142,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,,[],,,
463,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,224.00000000000017,16.000000000000085,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_86930b99,['player_86930b99'],,,True
506,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,246.62741699796953,22.62741699796939,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_ff564ae8,"['player_86930b99', 'player_ff564ae8']",,,
635,plate,put down,Counter_22,Counter,22,put down plate on counter,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,439.7188494342778,153.98409523058035,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,player_86930b99,['player_86930b99'],,,
697,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,262.6274169979696,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_ff564ae8,['player_ff564ae8'],,,False
720,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,526.2742006855191,86.55535125124129,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,,[],,,
734,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,278.62741699796965,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_86930b99,['player_ff564ae8'],"['player_ff564ae8', 'player_ff564ae8']",['player_86930b99'],True
826,plate,put down,Counter_24,Counter,24,put down plate on counter,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,635.1232716355136,108.84907094999448,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,player_86930b99,['player_86930b99'],,,
853,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,1,pick up tomato_cut from cuttingboard,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,294.6274169979697,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_ff564ae8,['player_ff564ae8'],,,False
864,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,667.1232716355123,31.99999999999875,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,player_ff564ae8,['player_ff564ae8'],"['player_ff564ae8', 'player_ff564ae8']",['player_86930b99'],True
912,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,699.123271635511,31.999999999998636,1.0,1.0,1.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,player_86930b99,"['player_ff564ae8', 'player_86930b99']","['player_ff564ae8', 'player_ff564ae8']",['player_86930b99'],
928,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,342.62741699796976,48.00000000000006,1.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_86930b99,['player_ff564ae8'],"['player_ff564ae8', 'player_ff564ae8']",['player_86930b99'],True
969,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,753.6002812190682,54.47700958355722,1.0,0.0,1.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,,[],,,
971,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,358.62741699796976,16.0,1.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_86930b99,['player_86930b99'],,,True
1017,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,390.6274169979698,32.00000000000006,1.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_ff564ae8,"['player_86930b99', 'player_ff564ae8']",,,
1055,plate,put down,Counter_22,Counter,22,put down plate on counter,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,840.1556324703045,86.55535125123629,1.0,0.0,1.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,player_86930b99,['player_86930b99'],,,
1089,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,406.6274169979699,16.000000000000057,1.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_ff564ae8,"['player_86930b99', 'player_ff564ae8']",,,False
1106,tomato_salad,pick up,Counter_24,Counter,24,pick up tomato_salad from counter,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,872.1556324703031,31.999999999998636,1.0,0.0,1.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,player_ff564ae8,['player_ff564ae8'],"['player_ff564ae8', 'player_ff564ae8']",['player_86930b99'],True
1117,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,406.6274169979699,0.0,1.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_86930b99,['player_ff564ae8'],"['player_86930b99', 'player_ff564ae8', 'player_ff564ae8']",['player_86930b99'],True
1198,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,925.7809561971384,53.62532372683541,2.0,1.0,2.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,player_86930b99,"['player_ff564ae8', 'player_86930b99']","['player_ff564ae8', 'player_ff564ae8']",['player_86930b99'],
1207,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,477.13661497647337,70.5091979785035,2.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,,[],,,
1269,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_86930b99,baseline_division_of_labor_large,7c050a7a8367a200,train,980.2579657806956,54.47700958355722,2.0,0.0,2.0,1.0,1.0,"(1, 2)",6706bc0d8c98b64939838b2e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_86930b99_actions,,[],,,
1285,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_ff564ae8,baseline_division_of_labor_large,7c050a7a8367a200,train,541.1366149764722,63.999999999998806,2.0,0.0,0.0,1.0,1.0,"(5, 2)",660444dff79a079f7ca927f5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_ff564ae8_actions,player_ff564ae8,['player_ff564ae8'],,,
