tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
212,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c17c1143,baseline_division_of_labor_large,bd6d222a7feae0ea,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",655fa6bf1cfd3bd5343e7778,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_c17c1143_actions,,[],,,
328,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_83708cd8,baseline_division_of_labor_large,bd6d222a7feae0ea,train,117.23825531524216,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668ad967fbcbcb0fe1d5952c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_83708cd8_actions,,[],,,
331,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_c17c1143,baseline_division_of_labor_large,bd6d222a7feae0ea,train,80.0,64.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",655fa6bf1cfd3bd5343e7778,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_c17c1143_actions,player_c17c1143,['player_c17c1143'],,,
463,plate,put down,Counter_22,Counter,22,put down plate on counter,player_83708cd8,baseline_division_of_labor_large,bd6d222a7feae0ea,train,203.79360656648117,86.55535125123902,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668ad967fbcbcb0fe1d5952c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_83708cd8_actions,player_83708cd8,['player_83708cd8'],,,
502,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_c17c1143,baseline_division_of_labor_large,bd6d222a7feae0ea,train,192.0,112.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",655fa6bf1cfd3bd5343e7778,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_c17c1143_actions,,[],,,
520,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_83708cd8,baseline_division_of_labor_large,bd6d222a7feae0ea,train,242.30283831278965,38.50923174630847,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668ad967fbcbcb0fe1d5952c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_83708cd8_actions,player_c17c1143,['player_c17c1143'],,,True
565,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_83708cd8,baseline_division_of_labor_large,bd6d222a7feae0ea,train,258.3028383127897,16.00000000000003,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668ad967fbcbcb0fe1d5952c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_83708cd8_actions,player_83708cd8,['player_83708cd8'],"['player_c17c1143', 'player_83708cd8']",['player_83708cd8'],False
572,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_83708cd8,baseline_division_of_labor_large,bd6d222a7feae0ea,train,258.3028383127897,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668ad967fbcbcb0fe1d5952c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_83708cd8_actions,player_83708cd8,['player_83708cd8'],"['player_c17c1143', 'player_83708cd8']",['player_83708cd8'],False
610,plate,put down,Counter_23,Counter,23,put down plate on counter,player_c17c1143,baseline_division_of_labor_large,bd6d222a7feae0ea,train,284.8296565955073,92.82965659550727,0.0,0.0,0.0,1.0,1.0,"(5, 2)",655fa6bf1cfd3bd5343e7778,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_c17c1143_actions,player_c17c1143,['player_c17c1143'],,,
653,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_83708cd8,baseline_division_of_labor_large,bd6d222a7feae0ea,train,312.7798478963483,54.47700958355864,1.0,1.0,1.0,1.0,1.0,"(1, 2)",668ad967fbcbcb0fe1d5952c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_83708cd8_actions,player_83708cd8,"['player_83708cd8', 'player_83708cd8']","['player_c17c1143', 'player_83708cd8']",['player_83708cd8'],
