tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
235,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_2621ac94,baseline_division_of_labor_large,ce65716430d98dfc,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6438a923683de8fa6662b555,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
331,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_2621ac94,baseline_division_of_labor_large,ce65716430d98dfc,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6438a923683de8fa6662b555,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
394,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_2621ac94,baseline_division_of_labor_large,ce65716430d98dfc,train,92.96644617154473,38.48322308577237,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6438a923683de8fa6662b555,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
458,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_2621ac94,baseline_division_of_labor_large,ce65716430d98dfc,train,138.22128016748388,45.25483399593915,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6438a923683de8fa6662b555,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
895,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_2621ac94,baseline_division_of_labor_large,ce65716430d98dfc,train,314.03970640879885,175.81842624131497,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6438a923683de8fa6662b555,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
940,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_2621ac94,baseline_division_of_labor_large,ce65716430d98dfc,train,330.0397064087989,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6438a923683de8fa6662b555,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1196,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_2621ac94,baseline_division_of_labor_large,ce65716430d98dfc,train,561.628272331153,231.58856592235406,1.0,0.0,0.0,1.0,1.0,"(5, 2)",6438a923683de8fa6662b555,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1330,plate,put down,Dispenser_50,Dispenser,50,put down plate on dispenser,player_2621ac94,baseline_division_of_labor_large,ce65716430d98dfc,train,649.5778774313286,87.94960510017563,1.0,0.0,0.0,1.0,1.0,"(5, 2)",6438a923683de8fa6662b555,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1330,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_2621ac94,baseline_division_of_labor_large,ce65716430d98dfc,train,649.5778774313286,0.0,1.0,0.0,0.0,1.0,1.0,"(5, 2)",6438a923683de8fa6662b555,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1432,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_2621ac94,baseline_division_of_labor_large,ce65716430d98dfc,train,713.577877431326,63.999999999997385,1.0,0.0,0.0,1.0,1.0,"(5, 2)",6438a923683de8fa6662b555,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
