tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
156,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,86.50919795403462,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
287,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,173.06454920527614,86.55535125124152,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
450,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,291.5737471837775,118.50919797850139,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
554,plate,put down,Counter_22,Counter,22,put down plate on counter,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,378.12909843501666,86.55535125123913,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
651,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,422.97021666965725,44.84111823464059,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
960,plate,put down,Counter_23,Counter,23,put down plate on counter,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,634.3090712436672,211.33885457400993,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1325,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,832.1435742389945,197.83450299532728,1.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1350,plate,assemble salad,Counter_23,Counter,23,assemble salad,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,832.1435742389945,0.0,1.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1539,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,940.9660209981075,108.82244675911306,2.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1634,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,1004.9660209981048,63.99999999999727,2.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1935,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,1116.9660209981002,111.99999999999545,2.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2045,plate,put down,Counter_22,Counter,22,put down plate on counter,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,1203.5213722493363,86.55535125123606,2.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2100,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,1242.0306039956447,38.50923174630839,2.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2142,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,1258.030603995645,16.000000000000227,3.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2167,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,1258.030603995645,0.0,3.0,0.0,0.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2245,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,1312.5076135792006,54.47700958355563,4.0,1.0,1.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2329,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,1328.5076135792006,16.0,4.0,0.0,1.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2418,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,1392.5076135791985,63.999999999997954,4.0,0.0,1.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2638,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,1504.5076135791946,111.99999999999613,4.0,0.0,1.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2760,plate,put down,Counter_23,Counter,23,put down plate on counter,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,train,1597.3372701746998,92.82965659550518,4.0,0.0,1.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
3196,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,test,1892.0693660819907,294.73209590729084,0.0,0.0,1.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
3303,plate,put down,Counter_23,Counter,23,put down plate on counter,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,test,1984.8990226774959,92.82965659550518,0.0,0.0,1.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
3442,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,test,2077.903298735209,93.00427605771301,0.0,0.0,1.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
3561,plate,put down,Counter_24,Counter,24,put down plate on counter,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,test,2186.7523696852086,108.84907094999971,0.0,0.0,1.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
3843,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,test,2395.2958443981283,208.54347471291976,1.0,0.0,1.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
3957,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_47e7d8d9,baseline_division_of_labor_large,ef152da54a299cbf,test,2475.2958443981383,80.00000000001,1.0,0.0,1.0,1.0,1.0,"(1, 2)",5d9be6d4d6e5640016b915df,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
