tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
84,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7e736e9d,baseline_division_of_labor_large,ef152da54a299cbf,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5a09ebdf087f2e0001eae39f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
171,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_7e736e9d,baseline_division_of_labor_large,ef152da54a299cbf,train,80.0,64.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5a09ebdf087f2e0001eae39f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
319,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7e736e9d,baseline_division_of_labor_large,ef152da54a299cbf,train,144.0,64.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5a09ebdf087f2e0001eae39f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
460,tomato,put down,Dispenser_80,Dispenser,80,put down tomato on dispenser,player_7e736e9d,baseline_division_of_labor_large,ef152da54a299cbf,train,292.00000000002274,148.00000000002274,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5a09ebdf087f2e0001eae39f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
460,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_7e736e9d,baseline_division_of_labor_large,ef152da54a299cbf,train,292.00000000002274,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5a09ebdf087f2e0001eae39f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
606,plate,put down,CuttingBoard_10,CuttingBoard,10,put down plate on cuttingboard,player_7e736e9d,baseline_division_of_labor_large,ef152da54a299cbf,train,417.064582997571,125.06458299754826,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5a09ebdf087f2e0001eae39f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
606,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_7e736e9d,baseline_division_of_labor_large,ef152da54a299cbf,train,417.064582997571,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5a09ebdf087f2e0001eae39f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
726,tomato_cut,put down,Dispenser_80,Dispenser,80,put down tomato_cut on dispenser,player_7e736e9d,baseline_division_of_labor_large,ef152da54a299cbf,train,529.0645829975706,111.9999999999996,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5a09ebdf087f2e0001eae39f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
726,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_7e736e9d,baseline_division_of_labor_large,ef152da54a299cbf,train,529.0645829975706,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5a09ebdf087f2e0001eae39f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
836,plate,put down,Counter_22,Counter,22,put down plate on counter,player_7e736e9d,baseline_division_of_labor_large,ef152da54a299cbf,train,615.6199342488069,86.55535125123629,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5a09ebdf087f2e0001eae39f,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
