tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
128,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
182,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
203,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,54.48322308577236,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
271,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,92.99245483208095,38.50923174630859,0.0,0.0,0.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
433,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,92.99245483208095,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
482,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,108.99245483208095,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
501,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,108.99245483208095,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
591,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,163.56173237881274,54.56927754673178,1.0,1.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
708,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,202.04495546458517,38.48322308577244,1.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
883,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,256.3630738605052,54.31811839592004,1.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
992,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,256.3630738605052,0.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1039,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,288.36307386050527,32.00000000000006,1.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1077,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,304.36307386050527,16.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1124,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,320.3630738605053,16.000000000000057,1.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1246,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,320.3630738605053,0.0,2.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1285,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,336.3630738605054,16.000000000000057,2.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1357,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,390.87227184444527,54.509197983939885,2.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1419,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,438.8722718444454,48.000000000000114,3.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1512,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,438.8722718444454,0.0,3.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1547,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,454.8722718444455,16.000000000000114,3.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1625,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,525.3814698229484,70.50919797850287,3.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1688,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,573.3814698229463,47.999999999997954,3.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1782,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,573.3814698229463,0.0,4.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1798,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,573.3814698229463,0.0,4.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1798,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_c979e81b,baseline_division_of_labor_large,020cd7734be0cc71,train,573.3814698229463,0.0,4.0,0.0,1.0,1.0,1.0,"(5, 2)",66d45461cba2df2bc0e884b9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
