tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
129,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_6e3389bb,baseline_division_of_labor_large,10ce6a6658fd2789,train,70.5091979785024,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",650a2466738bb786a6c7849b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6e3389bb_actions,,[],,,
183,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_6e3389bb,baseline_division_of_labor_large,10ce6a6658fd2789,train,108.9924210642748,38.48322308577241,0.0,0.0,0.0,1.0,1.0,"(1, 2)",650a2466738bb786a6c7849b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6e3389bb_actions,player_6e3389bb,['player_6e3389bb'],,,
230,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_6e3389bb,baseline_division_of_labor_large,10ce6a6658fd2789,train,147.47564415004726,38.48322308577245,0.0,0.0,0.0,1.0,1.0,"(1, 2)",650a2466738bb786a6c7849b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6e3389bb_actions,,[],,,
246,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_264d9fab_actions,,[],,,
283,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_6e3389bb,baseline_division_of_labor_large,10ce6a6658fd2789,train,192.730478145986,45.25483399593875,0.0,0.0,0.0,1.0,1.0,"(1, 2)",650a2466738bb786a6c7849b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6e3389bb_actions,player_6e3389bb,['player_6e3389bb'],,,
335,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_6e3389bb,baseline_division_of_labor_large,10ce6a6658fd2789,train,237.98531214192477,45.25483399593875,0.0,0.0,0.0,1.0,1.0,"(1, 2)",650a2466738bb786a6c7849b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6e3389bb_actions,,[],,,
377,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,146.10919096243637,123.48177396446688,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_264d9fab_actions,player_264d9fab,['player_264d9fab'],,,
410,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_6e3389bb,baseline_division_of_labor_large,10ce6a6658fd2789,train,301.9853121419249,64.00000000000014,0.0,0.0,0.0,1.0,1.0,"(1, 2)",650a2466738bb786a6c7849b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6e3389bb_actions,player_6e3389bb,['player_6e3389bb'],,,
451,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,146.10919096243637,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_264d9fab_actions,player_6e3389bb,['player_6e3389bb'],,,True
497,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,162.1091909624364,16.00000000000003,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_264d9fab_actions,player_264d9fab,"['player_6e3389bb', 'player_264d9fab']",,,
544,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_6e3389bb,baseline_division_of_labor_large,10ce6a6658fd2789,train,413.985312141925,112.00000000000011,0.0,0.0,0.0,1.0,1.0,"(1, 2)",650a2466738bb786a6c7849b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6e3389bb_actions,,[],,,
