tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
246,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
377,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,146.10919096243637,123.48177396446687,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
451,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,146.10919096243637,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
497,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,162.1091909624364,16.00000000000003,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
669,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,226.1091909624365,64.00000000000009,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
775,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,287.27628695656307,61.16709599412658,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
929,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,303.27628695656307,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1006,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,357.59440535248285,54.31811839591978,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1129,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,469.59440535248297,112.00000000000011,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1225,plate,put down,Counter_22,Counter,22,put down plate on counter,player_264d9fab,baseline_division_of_labor_large,10ce6a6658fd2789,train,556.1497566037208,86.55535125123782,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e05169c37241cf5527d7f6a,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
