tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
187,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
294,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,115.44301569551793,92.81559869754841,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
571,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,311.6053137300217,196.16229803450375,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
687,plate,put down,Counter_24,Counter,24,put down plate on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,420.45438468001737,108.84907094999568,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
725,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,436.45438468001737,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
758,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,452.45438468001737,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
758,plate,pick up,Counter_24,Counter,24,pick up plate from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,452.45438468001737,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
910,plate,put down,Counter_24,Counter,24,put down plate on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,106.44341480242736,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
910,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1007,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1007,plate,pick up,Counter_24,Counter,24,pick up plate from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1052,plate,put down,Counter_24,Counter,24,put down plate on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1052,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1063,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1110,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1125,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1125,plate,pick up,Counter_24,Counter,24,pick up plate from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1157,plate,put down,Counter_24,Counter,24,put down plate on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1157,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1191,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1191,plate,pick up,Counter_24,Counter,24,pick up plate from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,558.8977994824447,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1254,plate,put down,Counter_23,Counter,23,put down plate on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,600.3702190746958,41.47241959225107,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1258,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,600.3702190746958,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1287,plate,put down,Counter_23,Counter,23,put down plate on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,600.3702190746958,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1358,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,645.6250530706336,45.254833995937815,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1619,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,848.9659205204323,203.34086744979868,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1619,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,848.9659205204323,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1824,tomato_cut,put down,Counter_26,Counter,26,put down tomato_cut on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,960.9659205204282,111.99999999999591,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2267,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,1179.6458893608249,218.67996884039667,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2327,plate,assemble salad,Counter_26,Counter,26,assemble salad,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,1227.6458893608228,47.999999999997954,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2331,tomato_salad,pick up,Counter_26,Counter,26,pick up tomato_salad from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,1227.6458893608228,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2335,tomato_salad,put down,Counter_26,Counter,26,put down tomato_salad on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,1227.6458893608228,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2366,tomato_salad,pick up,Counter_26,Counter,26,pick up tomato_salad from counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,1227.6458893608228,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2459,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,1314.0009252152322,86.35503585440938,1.0,1.0,1.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2549,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,1330.0009252152322,16.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2680,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,train,1394.0009252152302,63.999999999997954,2.0,0.0,1.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3086,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,test,1611.0743773614763,217.07345214624615,0.0,0.0,1.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3186,plate,put down,Counter_23,Counter,23,put down plate on counter,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,test,1702.0879117178395,91.01353435636315,0.0,0.0,1.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3250,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,test,1747.3427457137773,45.254833995937815,0.0,0.0,1.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3570,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_ac73ba68,baseline_division_of_labor_large,1405ec3eb90f7250,test,1941.3427457137989,194.0000000000216,0.0,0.0,1.0,1.0,1.0,"(5, 2)",5e6e442f779df43f9b825868,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
