tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
356,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_173b1e9d,baseline_division_of_labor_large,410fbfc53f312589,train,80.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f871995a3c40d0cbee04d20,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
661,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_173b1e9d,baseline_division_of_labor_large,410fbfc53f312589,train,338.8493845826836,258.8493845826836,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f871995a3c40d0cbee04d20,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
761,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_173b1e9d,baseline_division_of_labor_large,410fbfc53f312589,train,415.9538002291934,77.10441564650978,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f871995a3c40d0cbee04d20,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
922,tomato,put down,Counter_26,Counter,26,put down tomato on counter,player_173b1e9d,baseline_division_of_labor_large,410fbfc53f312589,train,518.4370233149657,102.4832230857723,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f871995a3c40d0cbee04d20,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1284,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_173b1e9d,baseline_division_of_labor_large,410fbfc53f312589,train,732.9462550612657,214.50923174629997,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f871995a3c40d0cbee04d20,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1387,plate,put down,Counter_22,Counter,22,put down plate on counter,player_173b1e9d,baseline_division_of_labor_large,410fbfc53f312589,train,819.501606312502,86.55535125123629,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f871995a3c40d0cbee04d20,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1508,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_173b1e9d,baseline_division_of_labor_large,410fbfc53f312589,train,835.5016063125013,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f871995a3c40d0cbee04d20,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1577,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_173b1e9d,baseline_division_of_labor_large,410fbfc53f312589,train,889.8197247084208,54.318118395919555,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f871995a3c40d0cbee04d20,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1785,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_173b1e9d,baseline_division_of_labor_large,410fbfc53f312589,train,1001.8197247084163,111.99999999999545,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f871995a3c40d0cbee04d20,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1889,plate,put down,Counter_23,Counter,23,put down plate on counter,player_173b1e9d,baseline_division_of_labor_large,410fbfc53f312589,train,1094.6493813039222,92.82965659550587,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f871995a3c40d0cbee04d20,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
