tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
151,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,70.50915951552801,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
280,tomato,put down,Dispenser_91,Dispenser,91,put down tomato on dispenser,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,118.50915951552801,48.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
280,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,118.50915951552801,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
517,plate,put down,Dispenser_50,Dispenser,50,put down plate on dispenser,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,294.5091595155281,176.00000000000009,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
517,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,294.5091595155281,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
612,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,358.5091595155282,64.00000000000011,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
767,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,470.5091595155283,112.00000000000011,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
893,plate,put down,Counter_24,Counter,24,put down plate on counter,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,579.3580811243728,108.84892160884448,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1204,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,767.8440560207389,188.4859748963661,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1258,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,783.8440560207384,15.999999999999545,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1270,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,783.8440560207384,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1476,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,883.4571275593012,99.61307153856274,1.0,1.0,1.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1573,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,899.4571275593007,15.999999999999545,1.0,0.0,1.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1666,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,963.457127559298,63.99999999999727,1.0,0.0,1.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1833,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,1075.4571275592934,111.99999999999545,1.0,0.0,1.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1939,plate,put down,Counter_22,Counter,22,put down plate on counter,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,1162.0124788105295,86.55535125123606,2.0,0.0,1.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2005,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,1200.521710556838,38.50923174630839,3.0,0.0,1.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2050,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,1216.5217105568381,16.000000000000227,3.0,0.0,1.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2084,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,1216.5217105568381,0.0,3.0,0.0,1.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2174,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,1270.9987201403937,54.47700958355563,4.0,1.0,2.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2252,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,1286.9987201403937,16.0,4.0,0.0,2.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2345,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,1363.8336456701788,76.8349255297851,4.0,0.0,2.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2486,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_41543b16,baseline_division_of_labor_large,4e59cb921adc832f,train,1488.6786315963097,124.8449859261309,4.0,0.0,2.0,1.0,1.0,"(1, 2)",66fa11a8d9cb228136e0e348,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
