tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
314,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
452,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,train,80.0,64.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
572,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,train,144.0,64.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
689,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,train,208.00000000000006,64.00000000000006,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2442,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,train,626.8433235015821,418.843323501582,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2879,tomato_cut,put down,CuttingBoard_10,CuttingBoard,10,put down tomato_cut on cuttingboard,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,train,626.8433235015821,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3096,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,708.8130135114643,81.96969000988224,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3222,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,785.6479390412493,76.83492552978498,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3379,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,897.6479390412446,111.99999999999534,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3504,plate,put down,Counter_22,Counter,22,put down plate on counter,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,984.2032902924809,86.55535125123629,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3662,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,1022.7125220387884,38.50923174630748,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3919,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,1038.7125220387884,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3967,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,1038.7125220387884,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3974,tomato_salad,put down,Counter_22,Counter,22,put down tomato_salad on counter,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,1038.7125220387884,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
4054,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,1038.7125220387884,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
4162,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,1093.189531622344,54.47700958355563,1.0,1.0,1.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
4366,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,1109.189531622344,16.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
4627,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,1173.1895316223417,63.999999999997726,1.0,0.0,1.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
4819,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,1285.1895316223379,111.99999999999613,2.0,0.0,1.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
4952,plate,put down,Counter_22,Counter,22,put down plate on counter,player_0e092ba1,baseline_division_of_labor_large,5975bf1c0340ab5a,test,1371.744882873574,86.55535125123606,3.0,0.0,1.0,1.0,1.0,"(5, 2)",682498beb28b43fa10e34496,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
