tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
576,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_5da9072d,baseline_division_of_labor_large,5f9d5efe2ab23748,train,54.47700958355846,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67ef28385fccba4dc7c089d9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
715,plate,assemble salad,Counter_22,Counter,22,assemble salad,player_5da9072d,baseline_division_of_labor_large,5f9d5efe2ab23748,train,140.7898008715003,86.31279128794182,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67ef28385fccba4dc7c089d9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
782,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_5da9072d,baseline_division_of_labor_large,5f9d5efe2ab23748,train,140.7898008715003,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67ef28385fccba4dc7c089d9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
858,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_5da9072d,baseline_division_of_labor_large,5f9d5efe2ab23748,train,172.7898008715003,32.0,1.0,1.0,1.0,1.0,1.0,"(5, 2)",67ef28385fccba4dc7c089d9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1357,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_5da9072d,baseline_division_of_labor_large,5f9d5efe2ab23748,train,227.26681045505896,54.47700958355867,1.0,0.0,1.0,1.0,1.0,"(5, 2)",67ef28385fccba4dc7c089d9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2045,plate,put down,CuttingBoard_02,CuttingBoard,02,put down plate on cuttingboard,player_5da9072d,baseline_division_of_labor_large,5f9d5efe2ab23748,train,401.7603875757995,174.49357712074053,1.0,0.0,1.0,1.0,1.0,"(5, 2)",67ef28385fccba4dc7c089d9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2045,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_5da9072d,baseline_division_of_labor_large,5f9d5efe2ab23748,train,401.7603875757995,0.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",67ef28385fccba4dc7c089d9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2673,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_5da9072d,baseline_division_of_labor_large,5f9d5efe2ab23748,train,433.7603875757996,32.000000000000114,1.0,0.0,1.0,1.0,1.0,"(5, 2)",67ef28385fccba4dc7c089d9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2683,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_5da9072d,baseline_division_of_labor_large,5f9d5efe2ab23748,train,433.7603875757996,0.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",67ef28385fccba4dc7c089d9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2879,tomato_salad,deliver,Delivery_93,Delivery,93,deliver tomato_salad,player_5da9072d,baseline_division_of_labor_large,5f9d5efe2ab23748,train,433.7603875757996,0.0,0.0,-1.0,0.0,1.0,1.0,"(5, 2)",67ef28385fccba4dc7c089d9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
