tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
176,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_ea1be0e1,baseline_division_of_labor_large,92c147103a3e7eb6,train,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a5c69296e5ab16fa30d00,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ea1be0e1_actions,,[],,,
199,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_6f3084e2,baseline_division_of_labor_large,92c147103a3e7eb6,train,70.5091979785024,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6f3084e2_actions,,[],,,
256,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_6f3084e2,baseline_division_of_labor_large,92c147103a3e7eb6,train,108.9924210642748,38.48322308577241,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6f3084e2_actions,player_6f3084e2,['player_6f3084e2'],,,
330,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_ea1be0e1,baseline_division_of_labor_large,92c147103a3e7eb6,train,115.44301569551791,92.8155986975484,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a5c69296e5ab16fa30d00,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ea1be0e1_actions,player_ea1be0e1,['player_ea1be0e1'],,,
352,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_6f3084e2,baseline_division_of_labor_large,92c147103a3e7eb6,train,195.50161904277635,86.50919797850155,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6f3084e2_actions,,[],,,
453,plate,put down,Counter_23,Counter,23,put down plate on counter,player_6f3084e2,baseline_division_of_labor_large,92c147103a3e7eb6,train,288.33127563828367,92.82965659550732,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6f3084e2_actions,player_6f3084e2,['player_6f3084e2'],,,
507,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_ea1be0e1,baseline_division_of_labor_large,92c147103a3e7eb6,train,227.44301569551791,112.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a5c69296e5ab16fa30d00,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ea1be0e1_actions,,[],,,
641,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_6f3084e2,baseline_division_of_labor_large,92c147103a3e7eb6,train,416.4651489194358,128.13387328115215,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6f3084e2_actions,,[],,,
675,plate,put down,Counter_24,Counter,24,put down plate on counter,player_ea1be0e1,baseline_division_of_labor_large,92c147103a3e7eb6,train,336.1255508285747,108.68253513305676,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a5c69296e5ab16fa30d00,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ea1be0e1_actions,player_ea1be0e1,['player_ea1be0e1'],,,
757,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_ea1be0e1,baseline_division_of_labor_large,92c147103a3e7eb6,train,406.4312325992412,70.30568177066647,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a5c69296e5ab16fa30d00,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ea1be0e1_actions,player_ea1be0e1,['player_ea1be0e1'],,,False
813,plate,put down,Counter_25,Counter,25,put down plate on counter,player_6f3084e2,baseline_division_of_labor_large,92c147103a3e7eb6,train,581.5881796985427,165.1230307791069,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6f3084e2_actions,player_6f3084e2,['player_6f3084e2'],,,
870,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_6f3084e2,baseline_division_of_labor_large,92c147103a3e7eb6,train,629.5881796985406,47.99999999999784,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_6f3084e2_actions,player_6f3084e2,['player_6f3084e2'],,,False
