tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
180,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_60610ce8,baseline_division_of_labor_large,b02f07fd5809caf0,train,54.47700958355846,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",63e55e08efd239a8c8b9d39e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
270,plate,put down,Counter_22,Counter,22,put down plate on counter,player_60610ce8,baseline_division_of_labor_large,b02f07fd5809caf0,train,140.7898008715003,86.31279128794182,0.0,0.0,0.0,1.0,1.0,"(5, 2)",63e55e08efd239a8c8b9d39e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
376,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_60610ce8,baseline_division_of_labor_large,b02f07fd5809caf0,train,163.41721786946968,22.62741699796939,0.0,0.0,0.0,1.0,1.0,"(5, 2)",63e55e08efd239a8c8b9d39e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
402,plate,put down,Counter_22,Counter,22,put down plate on counter,player_60610ce8,baseline_division_of_labor_large,b02f07fd5809caf0,train,163.41721786946968,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",63e55e08efd239a8c8b9d39e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
452,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_60610ce8,baseline_division_of_labor_large,b02f07fd5809caf0,train,163.41721786946968,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",63e55e08efd239a8c8b9d39e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
487,plate,put down,Counter_22,Counter,22,put down plate on counter,player_60610ce8,baseline_division_of_labor_large,b02f07fd5809caf0,train,163.41721786946968,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",63e55e08efd239a8c8b9d39e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
592,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_60610ce8,baseline_division_of_labor_large,b02f07fd5809caf0,train,259.4172178694697,96.00000000000003,0.0,0.0,0.0,1.0,1.0,"(5, 2)",63e55e08efd239a8c8b9d39e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
692,plate,put down,Counter_22,Counter,22,put down plate on counter,player_60610ce8,baseline_division_of_labor_large,b02f07fd5809caf0,train,345.97256912070884,86.55535125123913,1.0,0.0,0.0,1.0,1.0,"(5, 2)",63e55e08efd239a8c8b9d39e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
784,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_60610ce8,baseline_division_of_labor_large,b02f07fd5809caf0,train,432.5279203719502,86.55535125124135,1.0,0.0,0.0,1.0,1.0,"(5, 2)",63e55e08efd239a8c8b9d39e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
872,plate,put down,Counter_23,Counter,23,put down plate on counter,player_60610ce8,baseline_division_of_labor_large,b02f07fd5809caf0,train,525.3575769674575,92.82965659550729,1.0,0.0,0.0,1.0,1.0,"(5, 2)",63e55e08efd239a8c8b9d39e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
