tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
174,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_726c13c5,baseline_division_of_labor_large,c2c28943ffa52802,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",56610c81b018d100126e5da9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_726c13c5_actions,,[],,,
301,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_726c13c5,baseline_division_of_labor_large,c2c28943ffa52802,train,89.47184339614003,73.47184339614003,0.0,0.0,0.0,1.0,1.0,"(5, 2)",56610c81b018d100126e5da9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_726c13c5_actions,player_726c13c5,['player_726c13c5'],,,
387,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_82fdee49,baseline_division_of_labor_large,c2c28943ffa52802,train,144.2971469036494,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66a1b601c757d7182980cbc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_82fdee49_actions,,[],,,
464,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_82fdee49,baseline_division_of_labor_large,c2c28943ffa52802,train,199.5280133536203,55.23086644997093,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66a1b601c757d7182980cbc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_82fdee49_actions,player_82fdee49,['player_82fdee49'],,,
492,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_82fdee49,baseline_division_of_labor_large,c2c28943ffa52802,train,199.5280133536203,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66a1b601c757d7182980cbc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_82fdee49_actions,player_82fdee49,['player_82fdee49'],,,False
560,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_726c13c5,baseline_division_of_labor_large,c2c28943ffa52802,train,281.4718433961539,192.00000000001384,0.0,0.0,0.0,1.0,1.0,"(5, 2)",56610c81b018d100126e5da9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_726c13c5_actions,,[],,,
569,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_82fdee49,baseline_division_of_labor_large,c2c28943ffa52802,train,260.0394123974681,60.511399043847746,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66a1b601c757d7182980cbc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_82fdee49_actions,player_82fdee49,"['player_82fdee49', 'player_82fdee49']",,,
654,plate,put down,Counter_22,Counter,22,put down plate on counter,player_726c13c5,baseline_division_of_labor_large,c2c28943ffa52802,train,368.027194647393,86.55535125123913,0.0,0.0,0.0,1.0,1.0,"(5, 2)",56610c81b018d100126e5da9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_726c13c5_actions,player_726c13c5,['player_726c13c5'],,,
680,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_82fdee49,baseline_division_of_labor_large,c2c28943ffa52802,train,260.0394123974681,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66a1b601c757d7182980cbc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_82fdee49_actions,player_82fdee49,"['player_82fdee49', 'player_82fdee49']",,,False
702,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_726c13c5,baseline_division_of_labor_large,c2c28943ffa52802,train,405.08997405279376,37.06277940540076,0.0,0.0,0.0,1.0,1.0,"(5, 2)",56610c81b018d100126e5da9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_726c13c5_actions,player_726c13c5,['player_726c13c5'],,,False
727,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_82fdee49,baseline_division_of_labor_large,c2c28943ffa52802,train,260.0394123974681,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66a1b601c757d7182980cbc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_82fdee49_actions,player_726c13c5,['player_82fdee49'],"['player_82fdee49', 'player_82fdee49', 'player_82fdee49']",['player_726c13c5'],True
739,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_726c13c5,baseline_division_of_labor_large,c2c28943ffa52802,train,421.0899740527938,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(5, 2)",56610c81b018d100126e5da9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_726c13c5_actions,player_726c13c5,"['player_726c13c5', 'player_726c13c5']",,,
739,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_726c13c5,baseline_division_of_labor_large,c2c28943ffa52802,train,421.0899740527938,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",56610c81b018d100126e5da9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_726c13c5_actions,player_726c13c5,"['player_726c13c5', 'player_726c13c5']",,,False
746,tomato_cut,pick up,Counter_22,Counter,22,pick up tomato_cut from counter,player_82fdee49,baseline_division_of_labor_large,c2c28943ffa52802,train,260.0394123974681,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66a1b601c757d7182980cbc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_82fdee49_actions,player_726c13c5,"['player_726c13c5', 'player_726c13c5']",,,True
764,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_82fdee49,baseline_division_of_labor_large,c2c28943ffa52802,train,260.0394123974681,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66a1b601c757d7182980cbc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_82fdee49_actions,player_82fdee49,"['player_726c13c5', 'player_726c13c5', 'player_82fdee49']",,,
801,tomato_cut,pick up,Counter_22,Counter,22,pick up tomato_cut from counter,player_82fdee49,baseline_division_of_labor_large,c2c28943ffa52802,train,260.0394123974681,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66a1b601c757d7182980cbc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_82fdee49_actions,player_82fdee49,"['player_726c13c5', 'player_726c13c5', 'player_82fdee49']",,,False
