tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
102,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
164,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
213,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,92.96644617154473,38.48322308577237,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
269,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,138.22128016748388,45.25483399593915,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
301,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,154.22128016748388,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
351,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,192.73051191379236,38.50923174630847,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
395,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,224.7305119137924,32.00000000000006,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
434,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,240.7305119137924,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
560,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,359.2397098922948,118.50919797850239,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
650,plate,put down,Counter_22,Counter,22,put down plate on counter,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,445.7950611435339,86.55535125123913,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
738,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,484.27828422930656,38.483223085772636,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
794,tomato,put down,Dispenser_80,Dispenser,80,put down tomato on dispenser,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,532.2782842293061,47.999999999999545,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
794,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,532.2782842293061,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
912,plate,put down,Counter_24,Counter,24,put down plate on counter,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,650.7407421716131,118.46245794230697,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1014,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,727.218502823435,76.47776065182188,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1041,plate,put down,Counter_22,Counter,22,put down plate on counter,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,727.218502823435,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1105,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_c1ef807d,baseline_division_of_labor_large,d7097428c41e15ff,train,727.218502823435,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6604ae7daace7aa9341c696e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
