tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
169,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,70.5091979785024,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
211,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,108.99242106427481,38.48322308577241,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
267,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,147.47564415004726,38.48322308577245,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
327,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,192.730478145986,45.25483399593875,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
411,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,208.730478145986,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
452,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,247.23970989229448,38.50923174630847,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
511,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,279.2397098922945,32.00000000000003,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
570,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,311.23970989229457,32.00000000000006,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
657,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,311.23970989229457,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
710,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,327.2397098922947,16.000000000000114,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
869,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,343.23970989229474,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
931,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,375.2397098922948,32.00000000000006,1.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1129,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,490.4734529112537,115.23374301895888,1.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1227,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,570.4734529112512,79.99999999999756,1.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1328,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,570.4734529112512,0.0,2.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1369,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,586.4734529112507,15.999999999999432,2.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1456,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,634.4734529112485,47.99999999999784,2.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1540,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,698.4734529112459,63.999999999997385,2.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1643,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,698.4734529112459,0.0,3.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1700,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,730.4734529112447,31.999999999998863,3.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1824,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,816.7915370704088,86.31808415916407,3.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1899,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,880.7915370704061,63.99999999999727,3.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1997,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,880.7915370704061,0.0,4.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2035,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,896.7915370704056,15.999999999999545,4.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2113,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,944.7915370704035,47.99999999999784,4.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2197,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,1008.7915370704009,63.999999999997385,5.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2298,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,1008.7915370704009,0.0,5.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2357,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,1040.7915370703997,31.999999999998863,5.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2527,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_a10cb200,baseline_division_of_labor_large,e0c7b64ea9e458b9,train,1164.6305262078454,123.83898913744565,6.0,0.0,0.0,1.0,1.0,"(1, 2)",5d6d9e04f8550f0017382091,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
