tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
235,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_f6c916c3,baseline_division_of_labor_v2,07b59c99f88edbf4,54.514523904675976,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",670181df01d5807d3bca5093,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
454,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_f6c916c3,baseline_division_of_labor_v2,07b59c99f88edbf4,152.12426627671775,97.60974237204178,0.0,0.0,0.0,0.4,1.0,"(1, 2)",670181df01d5807d3bca5093,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
546,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_f6c916c3,baseline_division_of_labor_v2,07b59c99f88edbf4,152.12426627671775,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",670181df01d5807d3bca5093,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
565,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_f6c916c3,baseline_division_of_labor_v2,07b59c99f88edbf4,152.12426627671775,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",670181df01d5807d3bca5093,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
762,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_f6c916c3,baseline_division_of_labor_v2,07b59c99f88edbf4,237.6387899418428,85.51452366512504,1.0,0.0,0.0,0.4,1.0,"(1, 2)",670181df01d5807d3bca5093,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
891,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_f6c916c3,baseline_division_of_labor_v2,07b59c99f88edbf4,292.17215606091196,54.53336611906917,1.0,0.0,0.0,0.4,1.0,"(1, 2)",670181df01d5807d3bca5093,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
971,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_f6c916c3,baseline_division_of_labor_v2,07b59c99f88edbf4,292.17215606091196,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",670181df01d5807d3bca5093,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
999,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_f6c916c3,baseline_division_of_labor_v2,07b59c99f88edbf4,292.17215606091196,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",670181df01d5807d3bca5093,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1125,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_f6c916c3,baseline_division_of_labor_v2,07b59c99f88edbf4,346.6866799655887,54.514523904676764,1.0,0.0,0.0,0.4,1.0,"(1, 2)",670181df01d5807d3bca5093,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1252,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_f6c916c3,baseline_division_of_labor_v2,07b59c99f88edbf4,401.2200460846573,54.5333661190686,2.0,0.0,0.0,0.4,1.0,"(1, 2)",670181df01d5807d3bca5093,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
