tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
328,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,54.514523904675976,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
494,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,109.0478900237462,54.53336611907023,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
712,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,195.5624139251304,86.51452390138418,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
859,plate,put down,Counter_22,Counter,22,put down plate on counter,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,250.0975352680558,54.53512134292541,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1008,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,304.6326566109844,54.53512134292859,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1258,plate,put down,Counter_24,Counter,24,put down plate on counter,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,381.6890173109439,77.0563606999595,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1547,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,458.42960339000047,76.74058607905658,1.0,0.0,0.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1582,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,458.42960339000047,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1617,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,458.42960339000047,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1819,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,542.1080504032047,83.67844701320428,2.0,1.0,1.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1969,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,580.641416522275,38.53336611907025,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2119,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,635.1747826413435,54.533366119068546,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2222,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,635.1747826413435,0.0,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2325,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,667.1747826413422,31.999999999998636,3.0,0.0,1.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2393,tomato_salad,pick up,Counter_24,Counter,24,pick up tomato_salad from counter,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,667.1747826413422,0.0,3.0,0.0,1.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2626,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,766.3513746531338,99.17659201179163,4.0,1.0,2.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2791,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,820.8847407722023,54.533366119068546,4.0,0.0,2.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2936,plate,put down,Counter_22,Counter,22,put down plate on counter,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,875.4198621151272,54.53512134292487,4.0,0.0,2.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3089,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_582a0e68,baseline_division_of_labor_v2,4fcd8c8279662402,929.954983458055,54.53512134292782,4.0,0.0,2.0,0.4,1.0,"(1, 2)",6533ed4d1f4d40995d982559,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
