tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
309,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,54.514523904675976,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
954,tomato,put down,Dispenser_60,Dispenser,60,put down tomato on dispenser,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,195.5624139251304,141.04789002045442,0.0,0.0,0.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
954,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,195.5624139251304,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1179,plate,put down,Counter_22,Counter,22,put down plate on counter,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,250.0975352680558,54.53512134292541,0.0,0.0,0.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1457,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,294.95169459226975,44.85415932421395,0.0,0.0,0.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1516,plate,put down,Counter_22,Counter,22,put down plate on counter,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,294.95169459226975,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1707,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,294.95169459226975,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1921,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,378.63014160547493,83.67844701320519,1.0,1.0,1.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2067,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,417.16350772454524,38.53336611907031,1.0,0.0,1.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2370,tomato,start cutting,CuttingBoard_03,CuttingBoard,03,start cutting tomato,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,487.5785782725018,70.41507054795653,1.0,0.0,1.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2746,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,589.9936251958292,102.4150469233274,2.0,0.0,1.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2961,plate,put down,Counter_23,Counter,23,put down plate on counter,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,651.0499858957877,61.05636069995853,2.0,0.0,1.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3417,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,689.583352014858,38.53336611907025,2.0,0.0,1.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3599,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,744.1167181339265,54.533366119068546,2.0,0.0,1.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3705,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,744.1167181339265,0.0,2.0,0.0,1.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3845,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,776.1167181339251,31.999999999998636,2.0,0.0,1.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
4090,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,862.5317650607628,86.4150469268377,2.0,0.0,1.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
4292,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_386e3211,baseline_division_of_labor_v2,8a772fc2b75e1577,917.0651311798314,54.533366119068546,4.0,0.0,1.0,0.4,1.0,"(1, 2)",674cca92742faa4642a6e9c7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
