tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
204,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,53.12785537065351,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,,[],,,
277,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,,[],,,
344,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,107.66122148972376,54.53336611907024,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,player_a445317c,['player_a445317c'],,,
371,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,61.25483399593901,45.25483399593901,0.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,player_920e62ba,['player_920e62ba'],,,
480,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,122.25709558372073,61.00226158778172,0.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,,[],,,
554,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,194.175745391108,86.51452390138424,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,,[],,,
599,plate,put down,Counter_24,Counter,24,put down plate on counter,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,190.1393465776289,67.88225099390819,0.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,player_920e62ba,['player_920e62ba'],,,
715,plate,put down,Counter_22,Counter,22,put down plate on counter,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,248.7108667340334,54.53512134292541,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,player_a445317c,['player_a445317c'],,,
749,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,244.61635616118744,54.47700958355853,0.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,,[],,,
803,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,271.3382837320034,22.627416997969988,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,,[],,,
826,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,315.09336574474577,70.47700958355833,0.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,player_920e62ba,['player_920e62ba'],,,
1201,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,341.8716498510725,70.53336611906911,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,player_a445317c,['player_a445317c'],,,
1268,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,331.09336574474577,16.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,player_a445317c,['player_a445317c'],,,True
1424,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,418.6066109746959,76.7349611236234,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,player_920e62ba,['player_920e62ba'],,,True
1430,plate,put down,Counter_22,Counter,22,put down plate on counter,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,331.09336574474577,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,player_920e62ba,"['player_a445317c', 'player_920e62ba']",,,
1490,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,434.6066109746955,15.999999999999602,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,player_920e62ba,['player_a445317c'],"['player_920e62ba', 'player_a445317c']",['player_920e62ba'],True
1538,tomato_salad,pick up,Counter_24,Counter,24,pick up tomato_salad from counter,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,434.6066109746955,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,player_a445317c,['player_a445317c'],"['player_920e62ba', 'player_a445317c']",['player_920e62ba'],False
1691,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,331.09336574474577,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,player_a445317c,['player_a445317c'],,,True
1734,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,331.09336574474577,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,player_920e62ba,['player_920e62ba'],"['player_a445317c', 'player_920e62ba']","['player_a445317c', 'player_920e62ba']",False
1770,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,533.7832029864888,99.17659201179332,1.0,1.0,1.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,player_a445317c,"['player_a445317c', 'player_a445317c']","['player_920e62ba', 'player_a445317c']",['player_920e62ba'],
1816,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,347.09336574474577,16.0,1.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,player_920e62ba,['player_920e62ba'],,,False
1852,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,347.09336574474577,0.0,1.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,player_920e62ba,"['player_920e62ba', 'player_920e62ba']",,,
1940,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,588.3165691055574,54.533366119068546,1.0,0.0,1.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,,[],,,
2087,plate,put down,Counter_23,Counter,23,put down plate on counter,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,649.3729298055159,61.05636069995853,1.0,0.0,1.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,player_a445317c,['player_a445317c'],,,
2181,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_a445317c,baseline_division_of_labor_v2,93e868254556f5a2,681.3729298055155,31.999999999999545,1.0,0.0,1.0,0.4,1.0,"(1, 2)",65739900e4594000e0c7a2dc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a445317c_actions,player_a445317c,['player_a445317c'],,,False
2226,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,363.09336574474577,16.0,1.0,0.0,0.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,player_920e62ba,['player_920e62ba'],"['player_a445317c', 'player_920e62ba']","['player_a445317c', 'player_920e62ba']",False
2343,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_920e62ba,baseline_division_of_labor_v2,93e868254556f5a2,446.7147536671581,83.62138792241228,2.0,1.0,1.0,1.0,0.2,"(5, 2)",662b89c9eb08d365c04c7cc7,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_920e62ba_actions,player_920e62ba,"['player_920e62ba', 'player_920e62ba']","['player_a445317c', 'player_920e62ba']","['player_a445317c', 'player_920e62ba']",
