tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
105,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_0d05f176,baseline_division_of_labor_v2,da4cc514f58e488c,22.62741699796951,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",672c2562333d511af60d4ae4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0d05f176_actions,,[],,,
161,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_0d05f176,baseline_division_of_labor_v2,da4cc514f58e488c,45.254833995939016,22.627416997969505,0.0,0.0,0.0,1.0,0.2,"(5, 2)",672c2562333d511af60d4ae4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0d05f176_actions,player_0d05f176,['player_0d05f176'],,,
220,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0d05f176,baseline_division_of_labor_v2,da4cc514f58e488c,83.7380570817114,38.48322308577239,0.0,0.0,0.0,1.0,0.2,"(5, 2)",672c2562333d511af60d4ae4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0d05f176_actions,,[],,,
242,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_86c4a5ae,baseline_division_of_labor_v2,da4cc514f58e488c,86.51417265238335,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",671d1dcbc6f5d2e81501e24a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_86c4a5ae_actions,,[],,,
282,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_0d05f176,baseline_division_of_labor_v2,da4cc514f58e488c,128.99289107765065,45.25483399593925,0.0,0.0,0.0,1.0,0.2,"(5, 2)",672c2562333d511af60d4ae4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0d05f176_actions,player_0d05f176,['player_0d05f176'],,,
533,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_0d05f176,baseline_division_of_labor_v2,da4cc514f58e488c,237.50429012149849,108.51139904384785,0.0,0.0,0.0,1.0,0.2,"(5, 2)",672c2562333d511af60d4ae4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0d05f176_actions,player_0d05f176,['player_0d05f176'],,,False
556,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_0d05f176,baseline_division_of_labor_v2,da4cc514f58e488c,237.50429012149849,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",672c2562333d511af60d4ae4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0d05f176_actions,player_0d05f176,"['player_0d05f176', 'player_0d05f176']",,,
659,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_0d05f176,baseline_division_of_labor_v2,da4cc514f58e488c,253.50429012149849,16.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",672c2562333d511af60d4ae4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0d05f176_actions,player_0d05f176,['player_0d05f176'],,,False
676,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_0d05f176,baseline_division_of_labor_v2,da4cc514f58e488c,253.50429012149849,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",672c2562333d511af60d4ae4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0d05f176_actions,player_0d05f176,"['player_0d05f176', 'player_0d05f176']",,,
1111,plate,put down,Counter_22,Counter,22,put down plate on counter,player_86c4a5ae,baseline_division_of_labor_v2,da4cc514f58e488c,303.7984649416909,217.28429228930753,0.0,0.0,0.0,0.4,1.0,"(1, 2)",671d1dcbc6f5d2e81501e24a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_86c4a5ae_actions,player_86c4a5ae,['player_86c4a5ae'],,,
1224,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_0d05f176,baseline_division_of_labor_v2,da4cc514f58e488c,269.50429012149846,15.999999999999972,0.0,0.0,0.0,1.0,0.2,"(5, 2)",672c2562333d511af60d4ae4,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0d05f176_actions,player_0d05f176,"['player_0d05f176', 'player_0d05f176']",,,False
