tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
98,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_8f76aed0,baseline_division_of_labor_v2,fd32a3d7120eb768,22.62741699796951,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",608f2aa883599160c8b87a79,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_8f76aed0_actions,,[],,,
185,plate,put down,Counter_22,Counter,22,put down plate on counter,player_8f76aed0,baseline_division_of_labor_v2,fd32a3d7120eb768,77.10442658152799,54.47700958355848,0.0,0.0,0.0,1.0,0.2,"(5, 2)",608f2aa883599160c8b87a79,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_8f76aed0_actions,player_8f76aed0,['player_8f76aed0'],,,
209,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_8f76aed0,baseline_division_of_labor_v2,fd32a3d7120eb768,99.7318435794976,22.62741699796962,0.0,0.0,0.0,1.0,0.2,"(5, 2)",608f2aa883599160c8b87a79,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_8f76aed0_actions,,[],,,
244,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_3c3a1af0,baseline_division_of_labor_v2,fd32a3d7120eb768,54.514523904675976,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_3c3a1af0_actions,,[],,,
250,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_8f76aed0,baseline_division_of_labor_v2,fd32a3d7120eb768,122.35926057746724,22.62741699796962,0.0,0.0,0.0,1.0,0.2,"(5, 2)",608f2aa883599160c8b87a79,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_8f76aed0_actions,player_8f76aed0,['player_8f76aed0'],,,
250,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_8f76aed0,baseline_division_of_labor_v2,fd32a3d7120eb768,122.35926057746724,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",608f2aa883599160c8b87a79,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_8f76aed0_actions,player_8f76aed0,['player_8f76aed0'],,,False
255,plate,put down,Counter_22,Counter,22,put down plate on counter,player_8f76aed0,baseline_division_of_labor_v2,fd32a3d7120eb768,122.35926057746724,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",608f2aa883599160c8b87a79,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_8f76aed0_actions,player_8f76aed0,"['player_8f76aed0', 'player_8f76aed0']",,,
255,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_8f76aed0,baseline_division_of_labor_v2,fd32a3d7120eb768,122.35926057746724,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",608f2aa883599160c8b87a79,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_8f76aed0_actions,player_8f76aed0,"['player_8f76aed0', 'player_8f76aed0']",,,False
271,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_8f76aed0,baseline_division_of_labor_v2,fd32a3d7120eb768,122.35926057746724,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",608f2aa883599160c8b87a79,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_8f76aed0_actions,player_8f76aed0,"['player_8f76aed0', 'player_8f76aed0', 'player_8f76aed0']",,,
271,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_8f76aed0,baseline_division_of_labor_v2,fd32a3d7120eb768,122.35926057746724,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",608f2aa883599160c8b87a79,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_8f76aed0_actions,player_8f76aed0,"['player_8f76aed0', 'player_8f76aed0', 'player_8f76aed0']",,,False
