tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
109,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_8cf1c4d3,baseline_division_of_labor_v2,099eb5d71c246261,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6547bf8012d4702680d55663,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8cf1c4d3_actions,,[],,,
116,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,70.50890713329197,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,,[],,,
175,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,108.99213021906438,38.48322308577241,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,player_11f55278,['player_11f55278'],,,
238,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_8cf1c4d3,baseline_division_of_labor_v2,099eb5d71c246261,77.104426581528,54.47700958355849,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6547bf8012d4702680d55663,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8cf1c4d3_actions,player_8cf1c4d3,['player_8cf1c4d3'],,,
243,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,147.47535330483683,38.48322308577245,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,,[],,,
294,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,192.7301873007756,45.25483399593875,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,player_11f55278,['player_11f55278'],,,
373,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_8cf1c4d3,baseline_division_of_labor_v2,099eb5d71c246261,163.6136245600297,86.50919797850173,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6547bf8012d4702680d55663,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8cf1c4d3_actions,,[],,,
472,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,356.28938485421645,163.55919755344087,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,player_11f55278,['player_11f55278'],,,False
506,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,372.2893848542165,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,player_11f55278,"['player_11f55278', 'player_11f55278']",,,
646,plate,put down,Counter_22,Counter,22,put down plate on counter,player_8cf1c4d3,baseline_division_of_labor_v2,099eb5d71c246261,376.42024771225664,212.8066231522269,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6547bf8012d4702680d55663,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8cf1c4d3_actions,player_8cf1c4d3,['player_8cf1c4d3'],,,
654,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,474.6074690133795,102.3180841591631,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,,[],,,
716,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_8cf1c4d3,baseline_division_of_labor_v2,099eb5d71c246261,376.42024771225664,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6547bf8012d4702680d55663,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8cf1c4d3_actions,player_8cf1c4d3,['player_8cf1c4d3'],,,False
725,plate,put down,Counter_24,Counter,24,put down plate on counter,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,542.4897200072878,67.88225099390826,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,player_11f55278,['player_11f55278'],,,
746,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_8cf1c4d3,baseline_division_of_labor_v2,099eb5d71c246261,376.42024771225664,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6547bf8012d4702680d55663,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8cf1c4d3_actions,player_8cf1c4d3,['player_8cf1c4d3'],"['player_8cf1c4d3', 'player_8cf1c4d3']",['player_8cf1c4d3'],False
766,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_8cf1c4d3,baseline_division_of_labor_v2,099eb5d71c246261,376.42024771225664,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6547bf8012d4702680d55663,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8cf1c4d3_actions,player_8cf1c4d3,['player_8cf1c4d3'],"['player_8cf1c4d3', 'player_8cf1c4d3']",['player_8cf1c4d3'],False
788,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,610.3719710011944,67.88225099390661,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,,[],,,
870,plate,put down,Counter_25,Counter,25,put down plate on counter,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,694.0016398454193,83.62966884422485,0.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,player_11f55278,['player_11f55278'],,,
873,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_8cf1c4d3,baseline_division_of_labor_v2,099eb5d71c246261,460.0416356346689,83.62138792241228,1.0,1.0,1.0,1.0,1.0,"(5, 2)",6547bf8012d4702680d55663,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8cf1c4d3_actions,player_8cf1c4d3,"['player_8cf1c4d3', 'player_8cf1c4d3']","['player_8cf1c4d3', 'player_8cf1c4d3']",['player_8cf1c4d3'],
915,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,726.0016398454179,31.999999999998636,1.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,player_11f55278,['player_11f55278'],,,False
960,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_8cf1c4d3,baseline_division_of_labor_v2,099eb5d71c246261,498.524858720441,38.48322308577207,1.0,0.0,1.0,1.0,1.0,"(5, 2)",6547bf8012d4702680d55663,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8cf1c4d3_actions,,[],,,
981,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,786.5130388892651,60.51139904384718,1.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,player_11f55278,"['player_11f55278', 'player_11f55278']",,,
1074,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,786.5130388892651,0.0,1.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,player_11f55278,"['player_11f55278', 'player_11f55278']",,,False
1080,plate,put down,Counter_23,Counter,23,put down plate on counter,player_8cf1c4d3,baseline_division_of_labor_v2,099eb5d71c246261,600.9873413221482,102.46248260170717,1.0,0.0,1.0,1.0,1.0,"(5, 2)",6547bf8012d4702680d55663,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8cf1c4d3_actions,player_8cf1c4d3,['player_8cf1c4d3'],,,
1119,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_11f55278,baseline_division_of_labor_v2,099eb5d71c246261,818.5130388892637,31.999999999998636,1.0,0.0,0.0,1.0,1.0,"(1, 2)",668d3b9862f5a356423ded45,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_11f55278_actions,player_11f55278,['player_11f55278'],"['player_11f55278', 'player_11f55278', 'player_11f55278']",['player_11f55278'],False
1152,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_8cf1c4d3,baseline_division_of_labor_v2,099eb5d71c246261,600.9873413221482,0.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",6547bf8012d4702680d55663,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8cf1c4d3_actions,player_11f55278,"['player_11f55278', 'player_11f55278']",,,True
1174,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_8cf1c4d3,baseline_division_of_labor_v2,099eb5d71c246261,600.9873413221482,0.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",6547bf8012d4702680d55663,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8cf1c4d3_actions,player_8cf1c4d3,['player_8cf1c4d3'],"['player_11f55278', 'player_11f55278', 'player_8cf1c4d3']",['player_8cf1c4d3'],False
