tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
148,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_c6740261,baseline_division_of_labor_v2,84f1a268370d4722,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",60d9e874269237cc2a228006,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c6740261_actions,,[],,,
186,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_c6740261,baseline_division_of_labor_v2,84f1a268370d4722,45.254833995939016,22.627416997969505,0.0,0.0,0.0,1.0,1.0,"(5, 2)",60d9e874269237cc2a228006,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c6740261_actions,player_c6740261,['player_c6740261'],,,
223,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,54.509197983939174,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ee72fcc8_actions,,[],,,
231,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c6740261,baseline_division_of_labor_v2,84f1a268370d4722,83.7380570817114,38.48322308577239,0.0,0.0,0.0,1.0,1.0,"(5, 2)",60d9e874269237cc2a228006,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c6740261_actions,,[],,,
284,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,92.992421069711,38.48322308577181,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ee72fcc8_actions,player_ee72fcc8,['player_ee72fcc8'],,,
407,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_c6740261,baseline_division_of_labor_v2,84f1a268370d4722,189.8340093122907,106.0959522305793,0.0,0.0,0.0,1.0,1.0,"(5, 2)",60d9e874269237cc2a228006,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c6740261_actions,player_c6740261,['player_c6740261'],,,
444,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,222.95848638294908,129.9660653132381,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ee72fcc8_actions,,[],,,
514,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_c6740261,baseline_division_of_labor_v2,84f1a268370d4722,189.8340093122907,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",60d9e874269237cc2a228006,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c6740261_actions,player_c6740261,['player_c6740261'],,,False
519,plate,put down,Counter_24,Counter,24,put down plate on counter,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,290.840737376858,67.88225099390891,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ee72fcc8_actions,player_ee72fcc8,['player_ee72fcc8'],,,
568,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_c6740261,baseline_division_of_labor_v2,84f1a268370d4722,221.8340093122907,32.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",60d9e874269237cc2a228006,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c6740261_actions,player_ee72fcc8,['player_c6740261'],"['player_c6740261', 'player_c6740261']",['player_ee72fcc8'],True
585,tomato_salad,pick up,Counter_24,Counter,24,pick up tomato_salad from counter,player_c6740261,baseline_division_of_labor_v2,84f1a268370d4722,221.8340093122907,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",60d9e874269237cc2a228006,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c6740261_actions,player_c6740261,['player_c6740261'],"['player_c6740261', 'player_c6740261']",['player_ee72fcc8'],False
597,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,358.72298837076767,67.88225099390968,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ee72fcc8_actions,,[],,,
677,plate,put down,Counter_24,Counter,24,put down plate on counter,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,426.60523936467735,67.88225099390968,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ee72fcc8_actions,player_ee72fcc8,['player_ee72fcc8'],,,
695,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_c6740261,baseline_division_of_labor_v2,84f1a268370d4722,320.6706423031904,98.83663299089967,1.0,1.0,1.0,1.0,1.0,"(5, 2)",60d9e874269237cc2a228006,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c6740261_actions,player_c6740261,"['player_c6740261', 'player_c6740261']","['player_c6740261', 'player_c6740261']",['player_ee72fcc8'],
762,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,503.0830000165003,76.47776065182302,1.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ee72fcc8_actions,player_c6740261,['player_c6740261'],,,True
778,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_c6740261,baseline_division_of_labor_v2,84f1a268370d4722,375.1476518867484,54.477009583558015,1.0,0.0,1.0,1.0,1.0,"(5, 2)",60d9e874269237cc2a228006,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c6740261_actions,,[],,,
786,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,503.0830000165003,0.0,1.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ee72fcc8_actions,player_ee72fcc8,"['player_c6740261', 'player_ee72fcc8']",,,
