tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
223,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,54.509197983939174,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
284,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,92.99242106971099,38.48322308577181,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
444,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,222.95848638294908,129.9660653132381,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
519,plate,put down,Counter_24,Counter,24,put down plate on counter,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,290.840737376858,67.88225099390891,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
597,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,358.72298837076767,67.88225099390968,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
677,plate,put down,Counter_24,Counter,24,put down plate on counter,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,426.60523936467735,67.88225099390968,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
762,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,503.08300001650036,76.47776065182302,1.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
786,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,503.08300001650036,0.0,1.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
883,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,503.08300001650036,0.0,1.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
937,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_ee72fcc8,baseline_division_of_labor_v2,84f1a268370d4722,535.0830000164995,31.99999999999909,1.0,0.0,0.0,1.0,1.0,"(1, 2)",5eb67ac31de6e8583b4edafe,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
