tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
175,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_756df288,baseline_division_of_labor_v2,8be32ea6e6ee54fc,70.5091979785024,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6600c46c9378a5f69a37bb7b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_756df288_actions,,[],,,
256,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_756df288,baseline_division_of_labor_v2,8be32ea6e6ee54fc,141.01086567410104,70.50166769559864,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6600c46c9378a5f69a37bb7b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_756df288_actions,player_756df288,['player_756df288'],,,
264,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_e4aca48c,baseline_division_of_labor_v2,8be32ea6e6ee54fc,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660c9fe7b2e6bf22bcc608b1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_e4aca48c_actions,,[],,,
428,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_756df288,baseline_division_of_labor_v2,8be32ea6e6ee54fc,227.5200636526024,86.50919797850136,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6600c46c9378a5f69a37bb7b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_756df288_actions,,[],,,
469,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_e4aca48c,baseline_division_of_labor_v2,8be32ea6e6ee54fc,77.104426581528,54.47700958355849,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660c9fe7b2e6bf22bcc608b1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_e4aca48c_actions,player_e4aca48c,['player_e4aca48c'],,,
469,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_e4aca48c,baseline_division_of_labor_v2,8be32ea6e6ee54fc,77.104426581528,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660c9fe7b2e6bf22bcc608b1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_e4aca48c_actions,player_e4aca48c,['player_e4aca48c'],,,False
548,plate,put down,Counter_22,Counter,22,put down plate on counter,player_756df288,baseline_division_of_labor_v2,8be32ea6e6ee54fc,329.4970732361717,101.97700958356928,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6600c46c9378a5f69a37bb7b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_756df288_actions,player_756df288,['player_756df288'],,,
609,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_756df288,baseline_division_of_labor_v2,8be32ea6e6ee54fc,383.9740828197304,54.4770095835587,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6600c46c9378a5f69a37bb7b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_756df288_actions,,[],,,
678,plate,put down,Counter_23,Counter,23,put down plate on counter,player_756df288,baseline_division_of_labor_v2,8be32ea6e6ee54fc,444.9763444075126,61.00226158778224,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6600c46c9378a5f69a37bb7b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_756df288_actions,player_756df288,['player_756df288'],,,
743,tomato_cut,put down,Dispenser_60,Dispenser,60,put down tomato_cut on dispenser,player_e4aca48c,baseline_division_of_labor_v2,8be32ea6e6ee54fc,195.61362451879805,118.50919793727005,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660c9fe7b2e6bf22bcc608b1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_e4aca48c_actions,player_e4aca48c,"['player_e4aca48c', 'player_e4aca48c']",,,
