tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
190,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_c5bd5355,baseline_division_of_labor_v2,9287424664876010,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67edcc919d3af49e1d8b40b1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c5bd5355_actions,,[],,,
201,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_cc9f434a,baseline_division_of_labor_v2,9287424664876010,70.5091979785024,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5977466b68264c0001c49088,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_cc9f434a_actions,,[],,,
305,tomato,put down,Dispenser_60,Dispenser,60,put down tomato on dispenser,player_cc9f434a,baseline_division_of_labor_v2,9287424664876010,86.5091979785024,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5977466b68264c0001c49088,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_cc9f434a_actions,player_cc9f434a,['player_cc9f434a'],,,
305,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_cc9f434a,baseline_division_of_labor_v2,9287424664876010,86.5091979785024,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5977466b68264c0001c49088,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_cc9f434a_actions,,[],,,
310,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_c5bd5355,baseline_division_of_labor_v2,9287424664876010,77.104426581528,54.47700958355849,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67edcc919d3af49e1d8b40b1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c5bd5355_actions,player_c5bd5355,['player_c5bd5355'],,,
425,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_c5bd5355,baseline_division_of_labor_v2,9287424664876010,131.61362456546723,54.50919798393923,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67edcc919d3af49e1d8b40b1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c5bd5355_actions,,[],,,
471,plate,put down,Dispenser_50,Dispenser,50,put down plate on dispenser,player_cc9f434a,baseline_division_of_labor_v2,9287424664876010,102.5091979785024,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5977466b68264c0001c49088,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_cc9f434a_actions,player_cc9f434a,['player_cc9f434a'],,,
471,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_cc9f434a,baseline_division_of_labor_v2,9287424664876010,102.5091979785024,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5977466b68264c0001c49088,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_cc9f434a_actions,,[],,,
517,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_c5bd5355,baseline_division_of_labor_v2,9287424664876010,201.91930633613424,70.30568177066701,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67edcc919d3af49e1d8b40b1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c5bd5355_actions,player_c5bd5355,['player_c5bd5355'],,,
748,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_c5bd5355,baseline_division_of_labor_v2,9287424664876010,338.45949164005793,136.5401853039237,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67edcc919d3af49e1d8b40b1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_c5bd5355_actions,,[],,,
