tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
158,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,54.509197983939174,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ad953c38_actions,,[],,,
218,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_6107063e,baseline_division_of_labor_v2,9e910b0dc954745c,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e2ac2aa0038f21089a533a4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6107063e_actions,,[],,,
254,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,108.98620756749769,54.4770095835585,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ad953c38_actions,player_ad953c38,['player_ad953c38'],,,
348,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_6107063e,baseline_division_of_labor_v2,9e910b0dc954745c,102.355035854411,86.35503585441099,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e2ac2aa0038f21089a533a4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6107063e_actions,player_6107063e,['player_6107063e'],,,
429,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,195.4954055459993,86.50919797850159,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ad953c38_actions,,[],,,
517,plate,put down,Counter_23,Counter,23,put down plate on counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,256.4976671337807,61.00226158778142,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ad953c38_actions,player_ad953c38,['player_ad953c38'],,,
614,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,317.0090661776285,60.5113990438478,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ad953c38_actions,player_ad953c38,['player_ad953c38'],,,False
674,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_6107063e,baseline_division_of_labor_v2,9e910b0dc954745c,330.7468820273095,228.3918461728985,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e2ac2aa0038f21089a533a4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6107063e_actions,player_ad953c38,['player_ad953c38'],,,True
682,tomato_cut,put down,Counter_23,Counter,23,put down tomato_cut on counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,333.0090661776285,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ad953c38_actions,player_ad953c38,"['player_ad953c38', 'player_ad953c38']",,,
706,tomato_cut,pick up,Counter_23,Counter,23,pick up tomato_cut from counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,333.0090661776285,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ad953c38_actions,player_ad953c38,"['player_ad953c38', 'player_ad953c38']",,,False
825,plate,put down,Counter_23,Counter,23,put down plate on counter,player_6107063e,baseline_division_of_labor_v2,9e910b0dc954745c,330.7468820273095,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e2ac2aa0038f21089a533a4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6107063e_actions,player_6107063e,"['player_ad953c38', 'player_6107063e']",,,
930,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_6107063e,baseline_division_of_labor_v2,9e910b0dc954745c,330.7468820273095,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e2ac2aa0038f21089a533a4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6107063e_actions,player_6107063e,"['player_ad953c38', 'player_6107063e']",,,False
994,plate,put down,CuttingBoard_03,CuttingBoard,3,put down plate on cuttingboard,player_6107063e,baseline_division_of_labor_v2,9e910b0dc954745c,330.7468820273095,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e2ac2aa0038f21089a533a4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6107063e_actions,player_6107063e,"['player_ad953c38', 'player_6107063e', 'player_6107063e']",,,
994,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_6107063e,baseline_division_of_labor_v2,9e910b0dc954745c,330.7468820273095,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e2ac2aa0038f21089a533a4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6107063e_actions,player_6107063e,"['player_ad953c38', 'player_6107063e', 'player_6107063e']",,,False
1128,tomato_cut,put down,Counter_23,Counter,23,put down tomato_cut on counter,player_6107063e,baseline_division_of_labor_v2,9e910b0dc954745c,330.7468820273095,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e2ac2aa0038f21089a533a4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6107063e_actions,player_6107063e,"['player_ad953c38', 'player_6107063e', 'player_6107063e', 'player_6107063e']",,,
1244,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_6107063e,baseline_division_of_labor_v2,9e910b0dc954745c,433.0649661864726,102.3180841591631,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e2ac2aa0038f21089a533a4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6107063e_actions,,[],,,
1311,plate,put down,Counter_22,Counter,22,put down plate on counter,player_6107063e,baseline_division_of_labor_v2,9e910b0dc954745c,487.54197577003106,54.47700958355847,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e2ac2aa0038f21089a533a4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6107063e_actions,player_6107063e,['player_6107063e'],,,
1399,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_6107063e,baseline_division_of_labor_v2,9e910b0dc954745c,578.0516437619078,90.50966799187675,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5e2ac2aa0038f21089a533a4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6107063e_actions,player_6107063e,['player_6107063e'],,,False
