tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
158,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,54.509197983939174,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
254,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,108.98620756749767,54.4770095835585,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
429,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,195.49540554599926,86.50919797850159,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
517,plate,put down,Counter_23,Counter,23,put down plate on counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,256.4976671337807,61.00226158778142,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
614,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,317.0090661776285,60.5113990438478,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
682,tomato_cut,put down,Counter_23,Counter,23,put down tomato_cut on counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,333.0090661776285,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
706,tomato_cut,pick up,Counter_23,Counter,23,pick up tomato_cut from counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,333.0090661776285,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1505,tomato_cut,put down,Counter_24,Counter,24,put down tomato_cut on counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,502.32892225430186,169.31985607667337,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1519,tomato_cut,pick up,Counter_24,Counter,24,pick up tomato_cut from counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,502.32892225430186,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1982,tomato_cut,put down,Counter_24,Counter,24,put down tomato_cut on counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,620.8121453400712,118.48322308576934,1.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2097,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,675.2891549236282,54.47700958355699,1.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2188,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,745.7908226192242,70.50166769559598,1.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2297,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,854.4802964701287,108.6894738509045,1.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2348,tomato,start cutting,CuttingBoard_03,CuttingBoard,03,start cutting tomato,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,886.4802964701273,31.999999999998636,1.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2511,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,988.7983806292917,102.31808415916441,2.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2616,plate,put down,Counter_25,Counter,25,put down plate on counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,1072.4280494735194,83.6296688442277,2.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2703,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,1149.117523324425,76.68947385090564,2.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2753,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,1181.1175233244237,31.999999999998636,2.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2779,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,1181.1175233244237,0.0,2.0,0.0,0.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2880,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_ad953c38,baseline_division_of_labor_v2,9e910b0dc954745c,1264.7389112468363,83.62138792241262,3.0,1.0,1.0,1.0,1.0,"(1, 2)",66fde30b007e7c1b3f94c591,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
