tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
134,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_8c292873,baseline_division_of_labor_v2,cd42d81ec5af314f,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8c292873_actions,,[],,,
210,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_ed10195a,baseline_division_of_labor_v2,cd42d81ec5af314f,54.509197983939174,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",616dac30fd433eb926c5ceaa,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ed10195a_actions,,[],,,
268,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_8c292873,baseline_division_of_labor_v2,cd42d81ec5af314f,92.0172399369412,76.0172399369412,0.0,0.0,0.0,1.0,1.0,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8c292873_actions,player_8c292873,['player_8c292873'],,,
342,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_ed10195a,baseline_division_of_labor_v2,cd42d81ec5af314f,124.98620756749769,70.4770095835585,0.0,0.0,0.0,1.0,1.0,"(1, 2)",616dac30fd433eb926c5ceaa,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ed10195a_actions,player_ed10195a,['player_ed10195a'],,,
426,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_8c292873,baseline_division_of_labor_v2,cd42d81ec5af314f,178.5264379154428,86.50919797850162,0.0,0.0,0.0,1.0,1.0,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8c292873_actions,,[],,,
499,plate,put down,Counter_22,Counter,22,put down plate on counter,player_8c292873,baseline_division_of_labor_v2,cd42d81ec5af314f,233.00344749900145,54.47700958355861,0.0,0.0,0.0,1.0,1.0,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8c292873_actions,player_8c292873,['player_8c292873'],,,
542,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_ed10195a,baseline_division_of_labor_v2,cd42d81ec5af314f,263.43328057346065,138.44707300596298,0.0,0.0,0.0,1.0,1.0,"(1, 2)",616dac30fd433eb926c5ceaa,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ed10195a_actions,,[],,,
573,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_8c292873,baseline_division_of_labor_v2,cd42d81ec5af314f,287.4804570825601,54.4770095835587,0.0,0.0,0.0,1.0,1.0,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8c292873_actions,,[],,,
641,plate,put down,Counter_23,Counter,23,put down plate on counter,player_ed10195a,baseline_division_of_labor_v2,cd42d81ec5af314f,324.4355421612429,61.00226158778224,0.0,0.0,0.0,1.0,1.0,"(1, 2)",616dac30fd433eb926c5ceaa,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ed10195a_actions,player_ed10195a,['player_ed10195a'],,,
675,plate,put down,Counter_24,Counter,24,put down plate on counter,player_8c292873,baseline_division_of_labor_v2,cd42d81ec5af314f,376.6831174335507,89.20266035099058,0.0,0.0,0.0,1.0,1.0,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8c292873_actions,player_8c292873,['player_8c292873'],,,
