tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
201,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
239,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,45.254833995939016,22.627416997969505,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
278,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,67.88225099390853,22.62741699796951,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
338,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,106.36547407968034,38.48322308577181,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
395,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,144.8486971654528,38.48322308577245,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
463,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,199.32570674901075,54.47700958355796,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
570,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,260.3279683367901,61.002261587779344,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
641,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,298.8111914225627,38.48322308577258,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
692,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,321.43860842053255,22.627416997969874,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
741,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,359.92183150630433,38.48322308577178,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
890,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,494.7106313526464,134.78879984634204,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
969,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,565.212299048243,70.50166769559667,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1175,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,744.3291031678108,179.11680411956775,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1263,plate,put down,Counter_24,Counter,24,put down plate on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,812.2113541617174,67.88225099390661,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1263,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,812.2113541617174,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1472,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,947.71234695144,135.50099278972266,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1472,plate,pick up,Counter_24,Counter,24,pick up plate from counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,947.71234695144,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1656,plate,put down,Counter_01,Counter,01,put down plate on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1090.8187608294336,143.10641387799353,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1714,plate,pick up,Counter_01,Counter,01,pick up plate from counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1122.8187608294338,32.00000000000023,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1756,plate,put down,CuttingBoard_02,CuttingBoard,02,put down plate on cuttingboard,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1138.818760829434,16.000000000000227,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1756,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1138.818760829434,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2078,tomato_cut,put down,Counter_25,Counter,25,put down tomato_cut on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1299.6949827477806,160.87622191834657,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2078,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1299.6949827477806,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2113,tomato_salad,put down,Counter_25,Counter,25,put down tomato_salad on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1299.6949827477806,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2134,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1299.6949827477806,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2189,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1338.1782058335525,38.4832230857719,1.0,1.0,1.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2433,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1392.6552154171093,54.477009583556764,1.0,0.0,1.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2522,tomato,put down,Counter_01,Counter,01,put down tomato on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1440.655215417108,47.999999999998636,1.0,0.0,1.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2637,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1520.6552154171052,79.99999999999727,1.0,0.0,1.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2720,plate,put down,Counter_25,Counter,25,put down plate on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1604.2848842613341,83.62966884422895,1.0,0.0,1.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2996,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1783.2924422714027,179.00755801006858,2.0,0.0,1.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
3079,plate,put down,Counter_25,Counter,25,put down plate on counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1866.9221111156317,83.62966884422895,2.0,0.0,1.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
3161,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1943.6115849665373,76.68947385090564,2.0,0.0,1.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
3213,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1975.611584966536,31.999999999998636,2.0,0.0,1.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
3247,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_445933f5,baseline_division_of_labor_v2,ddd7c8a3080cc4fa,1975.611584966536,0.0,2.0,0.0,1.0,1.0,1.0,"(5, 2)",67506c9140f7ec4223d6c7be,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
