tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
172,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
286,plate,put down,Counter_22,Counter,22,put down plate on counter,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,86.6274169979695,63.99999999999999,0.0,0.0,0.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
412,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,134.6274169979695,48.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
515,tomato,put down,CuttingBoard_03,CuttingBoard,03,put down tomato on cuttingboard,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,220.98245285238025,86.35503585441074,0.0,0.0,0.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
515,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,220.98245285238025,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
628,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,236.98245285238025,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
796,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,359.0870638605642,122.10461100818392,1.0,0.0,0.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
871,plate,put down,Counter_23,Counter,23,put down plate on counter,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,420.0893254483464,61.00226158778224,1.0,0.0,0.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
921,tomato_cut,pick up,Counter_22,Counter,22,pick up tomato_cut from counter,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,436.0893254483464,16.0,1.0,0.0,0.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
971,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,452.0893254483464,16.0,1.0,0.0,0.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1003,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,452.0893254483464,0.0,1.0,0.0,0.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1068,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,484.0893254483464,32.0,2.0,1.0,1.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1123,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,522.5725485341184,38.483223085771954,2.0,0.0,1.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1192,plate,put down,Counter_23,Counter,23,put down plate on counter,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,583.5748101219002,61.002261587781845,2.0,0.0,1.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1258,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,644.0862091657475,60.51139904384729,2.0,0.0,1.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1262,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,644.0862091657475,0.0,2.0,0.0,1.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1342,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,660.0862091657468,15.999999999999318,2.0,0.0,1.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1395,plate,put down,Counter_23,Counter,23,put down plate on counter,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,660.0862091657468,0.0,2.0,0.0,1.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1472,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,660.0862091657468,0.0,2.0,0.0,1.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1555,plate,put down,Counter_23,Counter,23,put down plate on counter,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,660.0862091657468,0.0,2.0,0.0,1.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1591,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,660.0862091657468,0.0,2.0,0.0,1.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1630,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,660.0862091657468,0.0,3.0,0.0,1.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1666,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_f9541bda,baseline_division_of_labor_v2,e2fc17c68e0184af,660.0862091657468,0.0,3.0,0.0,1.0,1.0,1.0,"(5, 2)",61222038c2048b50449284a1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
