tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
179,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_78d098ad,baseline_division_of_labor_v2,e986076988d897f5,86.50919797850169,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",583ef6f5ad2f4300014b358d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
245,plate,put down,Counter_22,Counter,22,put down plate on counter,player_78d098ad,baseline_division_of_labor_v2,e986076988d897f5,140.9862075620602,54.47700958355851,0.0,0.0,0.0,1.0,1.0,"(1, 2)",583ef6f5ad2f4300014b358d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
307,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_78d098ad,baseline_division_of_labor_v2,e986076988d897f5,195.46321714561884,54.47700958355864,0.0,0.0,0.0,1.0,1.0,"(1, 2)",583ef6f5ad2f4300014b358d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
368,plate,put down,Counter_23,Counter,23,put down plate on counter,player_78d098ad,baseline_division_of_labor_v2,e986076988d897f5,256.4654787334003,61.00226158778145,0.0,0.0,0.0,1.0,1.0,"(1, 2)",583ef6f5ad2f4300014b358d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
412,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_78d098ad,baseline_division_of_labor_v2,e986076988d897f5,272.4654787334003,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",583ef6f5ad2f4300014b358d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
461,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_78d098ad,baseline_division_of_labor_v2,e986076988d897f5,310.9487018191728,38.48322308577252,1.0,1.0,1.0,1.0,1.0,"(1, 2)",583ef6f5ad2f4300014b358d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
633,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_78d098ad,baseline_division_of_labor_v2,e986076988d897f5,480.5579215682003,169.6092197490275,1.0,0.0,1.0,1.0,1.0,"(1, 2)",583ef6f5ad2f4300014b358d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
693,plate,put down,Counter_22,Counter,22,put down plate on counter,player_78d098ad,baseline_division_of_labor_v2,e986076988d897f5,535.0349311517588,54.47700958355847,1.0,0.0,1.0,1.0,1.0,"(1, 2)",583ef6f5ad2f4300014b358d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
723,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_78d098ad,baseline_division_of_labor_v2,e986076988d897f5,551.0349311517582,15.999999999999432,1.0,0.0,1.0,1.0,1.0,"(1, 2)",583ef6f5ad2f4300014b358d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
775,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_78d098ad,baseline_division_of_labor_v2,e986076988d897f5,589.5181542375299,38.48322308577167,2.0,1.0,2.0,1.0,1.0,"(1, 2)",583ef6f5ad2f4300014b358d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
